# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 4000, i.e. number of multipoles equal to 3999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.717315763266e-10       8.246510347543e-15       2.575804626569e-13       7.398725609624e-17       8.780559967704e-11       9.111646140068e-12      -7.814631335026e-15 
   41       1.743709583823e-10       8.958144234305e-15       2.486826675476e-13       7.773971273867e-17       8.348294440007e-11       8.688612384287e-12      -7.211874824057e-15 
   42       1.770266208318e-10       9.708197258935e-15       2.383558594328e-13       8.158714391072e-17       7.944705752411e-11       8.294570904465e-12      -6.868640806717e-15 
   43       1.796876711098e-10       1.049722851766e-14       2.266799976080e-13       8.552963199309e-17       7.565461979557e-11       7.927007192547e-12      -6.901172719285e-15 
   44       1.823590530120e-10       1.132594387809e-14       2.136079681470e-13       8.956720687442e-17       7.209990186231e-11       7.585082143379e-12      -7.257730082774e-15 
   45       1.850489701891e-10       1.219506959421e-14       1.990493220037e-13       9.369986893376e-17       6.877936951363e-11       7.267455261688e-12      -7.821416660471e-15 
   46       1.877639566604e-10       1.310530338916e-14       1.829017512085e-13       9.792759722179e-17       6.567759577789e-11       6.971388785616e-12      -8.448469473106e-15 
   47       1.905086704864e-10       1.405731338587e-14       1.650502856534e-13       1.022503485002e-16       6.276633313783e-11       6.692642964614e-12      -8.966685402557e-15 
   48       1.932857638957e-10       1.505166634011e-14       1.453892191292e-13       1.066680543834e-16       6.001322908760e-11       6.426700435319e-12      -9.222564293276e-15 
   49       1.960959318023e-10       1.608859091232e-14       1.238970702866e-13       1.111806140528e-16       5.741304281990e-11       6.173091826094e-12      -9.242123881744e-15 
   50       1.989375224713e-10       1.716814582770e-14       1.005813722383e-13       1.157878978385e-16       5.496363410262e-11       5.932109563100e-12      -9.112713355028e-15 
   51       2.018062648148e-10       1.829028018636e-14       7.545813586869e-14       1.204897479055e-16       5.265666317141e-11       5.703549228916e-12      -8.939144423721e-15 
   52       2.046950659651e-10       1.945482878694e-14       4.855220627401e-14       1.252859771971e-16       5.047715495231e-11       5.486672651549e-12      -8.844603461246e-15 
   53       2.075967687556e-10       2.066162653707e-14       1.988391397171e-14       1.301763866206e-16       4.840821306692e-11       5.280527378014e-12      -8.939204410213e-15 
   54       2.105137225736e-10       2.191089698842e-14      -1.057582178170e-14       1.351608242302e-16       4.644758805381e-11       5.085086504851e-12      -9.214054397852e-15 
   55       2.134503207832e-10       2.320295556037e-14      -4.287151994466e-14       1.402391394194e-16       4.459461004924e-11       4.900337616300e-12      -9.621537578760e-15 
