# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345347052410e-02       2.461384873569e+04 
       1.358213576527e-02       2.465839644807e+04 
       1.371083728579e-02       2.470066583034e+04 
       1.383957519464e-02       2.474081915703e+04 
       1.396834962388e-02       2.477886732932e+04 
       1.409716072827e-02       2.481488551728e+04 
       1.422600868495e-02       2.484884295082e+04 
       1.435489369312e-02       2.488074085742e+04 
       1.448381597375e-02       2.491059390658e+04 
       1.461277576940e-02       2.493851922992e+04 
       1.474177334394e-02       2.496447605323e+04 
       1.487080898239e-02       2.498852128784e+04 
       1.499988299079e-02       2.501058379368e+04 
       1.512899569603e-02       2.503083068568e+04 
       1.525814744577e-02       2.504917064379e+04 
       1.538733860835e-02       2.506574499736e+04 
       1.551656957274e-02       2.508042729881e+04 
       1.564584074848e-02       2.509338374134e+04 
       1.577515256571e-02       2.510452440123e+04 
       1.590450547513e-02       2.511401182305e+04 
       1.603389994806e-02       2.512171018975e+04 
       1.616333647650e-02       2.512771872214e+04 
       1.629281557314e-02       2.513207980524e+04 
       1.642233777151e-02       2.513473122906e+04 
       1.655190362604e-02       2.513575050981e+04 
       1.668151371224e-02       2.513528443126e+04 
       1.681116862675e-02       2.513314792021e+04 
       1.694086898759e-02       2.512955674308e+04 
       1.707061543430e-02       2.512426579721e+04 
       1.720040862812e-02       2.511750559033e+04 
       1.733024925222e-02       2.510925144834e+04 
       1.746013801191e-02       2.509956175312e+04 
       1.759007563492e-02       2.508839729215e+04 
       1.772006287162e-02       2.507484412812e+04 
       1.785010049533e-02       2.506180706502e+04 
       1.798018930257e-02       2.504555513993e+04 
       1.811033011343e-02       2.502966148621e+04 
       1.824052377186e-02       2.501068069998e+04 
       1.837077114602e-02       2.499122393094e+04 
       1.850107312864e-02       2.497073136668e+04 
       1.863143063739e-02       2.494922289082e+04 
       1.876184461532e-02       2.492576907894e+04 
       1.889231603120e-02       2.490058485238e+04 
       1.902284588001e-02       2.487534137419e+04 
       1.915343518335e-02       2.484766992110e+04 
       1.928408498992e-02       2.481923691191e+04 
       1.941479637601e-02       2.478962886653e+04 
       1.954557044598e-02       2.476028087606e+04 
       1.967640833279e-02       2.472848840508e+04 
       1.980731119854e-02       2.469554376532e+04 
       1.993828023503e-02       2.466112724428e+04 
       2.006931666432e-02       2.462616532633e+04 
       2.020042173937e-02       2.458989265791e+04 
       2.033159674457e-02       2.455369709607e+04 
       2.046284299649e-02       2.451555670498e+04 
       2.059416184446e-02       2.447641227965e+04 
       2.072555467126e-02       2.443524590606e+04 
       2.085702289386e-02       2.439435359368e+04 
       2.098856796412e-02       2.435296902024e+04 
       2.112019136953e-02       2.430925544485e+04 
       2.125189463402e-02       2.426511337501e+04 
       2.138367931871e-02       2.422029284235e+04 
       2.151554702278e-02       2.417452997478e+04 
       2.164749938428e-02       2.412798926931e+04 
       2.177953808105e-02       2.408064587796e+04 
       2.191166483158e-02       2.403234490376e+04 
       2.204388139596e-02       2.398313363148e+04 
       2.217618957687e-02       2.393310098025e+04 
       2.230859122051e-02       2.388248992797e+04 
       2.244108821769e-02       2.383096516601e+04 
       2.257368250484e-02       2.377856763340e+04 
       2.270637606510e-02       2.372562658130e+04 
       2.283917092947e-02       2.367234818091e+04 
       2.297206917795e-02       2.361743838080e+04 
       2.310507294071e-02       2.356297977035e+04 
       2.323818439939e-02       2.350637759687e+04 
