# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381334973077e-10       4.175854810010e-15       3.515757753719e-13       0.000000000000e+00       8.285719920486e-09       4.560795819225e-10      -1.840600132021e-12 
    3       1.306077085796e-10       5.350810511173e-15       3.951624772105e-13       0.000000000000e+00       5.086961704967e-09       3.225653635936e-10      -1.393870035097e-12 
    4       1.235419374872e-10       4.626465250863e-15       3.695429067618e-13       0.000000000000e+00       3.522980900778e-09       2.438408352383e-10      -9.122243268250e-13 
    5       1.182577854159e-10       3.084811791933e-15       3.147002336163e-13       0.000000000000e+00       2.621514709772e-09       1.923923589534e-10      -5.067133251489e-13 
    6       1.146361930466e-10       1.723975047740e-15       2.534558085892e-13       0.000000000000e+00       2.042589114507e-09       1.563935178405e-10      -2.080081450078e-13 
    7       1.122777861260e-10       9.313300323226e-16       1.990063438412e-13       0.000000000000e+00       1.644357868647e-09       1.299932157304e-10      -1.760722172177e-14 
    8       1.109025125701e-10       6.010299167744e-16       1.571247643278e-13       0.000000000000e+00       1.356592084623e-09       1.099887277505e-10       7.943236240610e-14 
    9       1.102623185230e-10       4.824150893140e-16       1.290908789085e-13       0.000000000000e+00       1.140654682812e-09       9.448217782997e-11       1.064492990921e-13 
   10       1.101269373009e-10       4.107616490617e-16       1.135806945376e-13       0.000000000000e+00       9.737533329371e-10       8.220664091112e-11       8.928869320047e-14 
   11       1.104373065833e-10       3.446671050068e-16       1.079363630651e-13       0.000000000000e+00       8.334433242374e-10       7.302002433416e-11       5.203854132862e-14 
   12       1.110423426700e-10       2.997838603930e-16       1.091010939089e-13       0.000000000000e+00       7.284077193473e-10       6.456656096497e-11       1.227930624988e-14 
   13       1.118915259853e-10       2.871142277223e-16       1.143924637569e-13       0.000000000000e+00       6.421587175184e-10       5.770052109635e-11      -1.799203155965e-14 
   14       1.129371542861e-10       2.986893522151e-16       1.217897516219e-13       0.000000000000e+00       5.703837986455e-10       5.172028222644e-11      -3.451672959874e-14 
   15       1.141664212685e-10       3.227673206777e-16       1.300046663143e-13       0.000000000000e+00       5.099592086057e-10       4.668966931372e-11      -3.750222883128e-14 
   16       1.155045455145e-10       3.568225902160e-16       1.383747188730e-13       0.000000000000e+00       4.585735395571e-10       4.235371867333e-11      -3.091062765540e-14 
   17       1.169786564297e-10       4.063914169552e-16       1.466778310031e-13       0.000000000000e+00       4.144843080350e-10       3.856966765995e-11      -1.993913414006e-14 
   18       1.185256683098e-10       4.769025930679e-16       1.551753795732e-13       0.000000000000e+00       3.762142363122e-10       3.526902658766e-11      -9.474480608461e-15 
   19       1.201569208112e-10       5.686819741261e-16       1.640905992898e-13       0.000000000000e+00       3.431461733283e-10       3.240460655925e-11      -2.117559193010e-15 
   20       1.218651599307e-10       6.797292493653e-16       1.735631909818e-13       0.000000000000e+00       3.140199587476e-10       2.986212300463e-11       4.239188644433e-16 
   21       1.236516913387e-10       8.094088043185e-16       1.835442218354e-13       0.000000000000e+00       2.883777596287e-10       2.759556532272e-11      -1.286492236374e-15 
   22       1.254904952130e-10       9.572338091492e-16       1.938456113608e-13       0.000000000000e+00       2.656025095726e-10       2.554790094552e-11      -5.504495915359e-15 
   23       1.273879176757e-10       1.123374091050e-15       2.041443418280e-13       0.000000000000e+00       2.453895478930e-10       2.371055774771e-11      -1.047669771600e-14 
   24       1.293381780111e-10       1.308045537725e-15       2.140278639806e-13       0.000000000000e+00       2.272776011955e-10       2.206682104567e-11      -1.433570751069e-14 
   25       1.313360904670e-10       1.511462964201e-15       2.231884694789e-13       0.000000000000e+00       2.110211494588e-10       2.059444860380e-11      -1.627001311243e-14 
   26       1.333640316277e-10       1.733996416294e-15       2.313624951314e-13       0.000000000000e+00       1.963022076235e-10       1.925660444894e-11      -1.595360702148e-14 
   27       1.354316021259e-10       1.977277486181e-15       2.384783350562e-13       0.000000000000e+00       1.830445571055e-10       1.804404076676e-11      -1.389854217752e-14 
   28       1.375414799466e-10       2.243563631364e-15       2.445474989059e-13       0.000000000000e+00       1.710876252374e-10       1.694137525542e-11      -1.110841878028e-14 
   29       1.396827408559e-10       2.535136483880e-15       2.496124635239e-13       0.000000000000e+00       1.601411831805e-10       1.592224966249e-11      -8.702982734901e-15 
   30       1.418619720648e-10       2.853088336766e-15       2.537215162118e-13       0.000000000000e+00       1.501449290944e-10       1.498561064623e-11      -7.071240479932e-15 
   31       1.440808703396e-10       3.198045317940e-15       2.569485113366e-13       0.000000000000e+00       1.410246927261e-10       1.413151272652e-11      -6.393853002593e-15 
   32       1.463313710945e-10       3.570579787681e-15       2.593611649737e-13       0.000000000000e+00       1.326362222983e-10       1.335296225552e-11      -6.758740860672e-15 
   33       1.486129582024e-10       3.971629174249e-15       2.608788618319e-13       0.000000000000e+00       1.249338638942e-10       1.264340096295e-11      -7.813582459737e-15 
   34       1.509192895958e-10       4.402221229997e-15       2.613610477844e-13       0.000000000000e+00       1.178494467238e-10       1.199053087031e-11      -8.970603096810e-15 
   35       1.532391009052e-10       4.863347311034e-15       2.606583094957e-13       0.000000000000e+00       1.112775753622e-10       1.137855398598e-11      -9.638990957700e-15 
   36       1.555793636168e-10       5.355909395641e-15       2.586681756405e-13       0.000000000000e+00       1.052012201096e-10       1.080537783029e-11      -9.756101800052e-15 
   37       1.579486717380e-10       5.880749011693e-15       2.552968846741e-13       0.000000000000e+00       9.960136285274e-11       1.027055676784e-11      -9.436580270989e-15 
   38       1.603502761704e-10       6.438656294718e-15       2.504439630913e-13       0.000000000000e+00       9.441902641077e-11       9.770332202610e-12      -8.835455645881e-15 
   39       1.627831690077e-10       7.030358025107e-15       2.440265469418e-13       0.000000000000e+00       8.957655160768e-11       9.299420209217e-12      -8.127002583655e-15 
   40       1.652473660414e-10       7.656486312524e-15       2.360635468910e-13       0.000000000000e+00       8.505912349910e-11       8.857874855945e-12      -7.425415072900e-15 
   41       1.677393346446e-10       8.317592707911e-15       2.266193401059e-13       0.000000000000e+00       8.085487232522e-11       8.446037151237e-12      -6.842064627448e-15 
   42       1.702499003856e-10       9.014150889122e-15       2.157827952988e-13       0.000000000000e+00       7.693054710218e-11       8.062480808203e-12      -6.508403504183e-15 
   43       1.727687095310e-10       9.746618005662e-15       2.036336878602e-13       0.000000000000e+00       7.324381633656e-11       7.704713377180e-12      -6.535379094730e-15 
   44       1.753005188751e-10       1.051565233447e-14       1.901261212069e-13       0.000000000000e+00       6.978900999815e-11       7.371911171191e-12      -6.873859277631e-15 
   45       1.778531031501e-10       1.132195583100e-14       1.751711110247e-13       0.000000000000e+00       6.656261141434e-11       7.062773632225e-12      -7.412604997704e-15 
   46       1.804325097149e-10       1.216621378263e-14       1.586676127658e-13       0.000000000000e+00       6.354952327966e-11       6.774641114336e-12      -8.014749654197e-15 
   47       1.830428512681e-10       1.304909443701e-14       1.405017052733e-13       0.000000000000e+00       6.072216473612e-11       6.503393012398e-12      -8.516297400238e-15 
   48       1.856862889022e-10       1.397116072460e-14       1.205692083631e-13       0.000000000000e+00       5.804896296595e-11       6.244637676078e-12      -8.770951266212e-15 
   49       1.883634592862e-10       1.493257686753e-14       9.885297963923e-14       0.000000000000e+00       5.552476531269e-11       5.997916489291e-12      -8.803044205622e-15 
   50       1.910728117587e-10       1.593331842886e-14       7.536600407970e-14       0.000000000000e+00       5.314744864746e-11       5.763509843041e-12      -8.695137348332e-15 
   51       1.938102357867e-10       1.697324826050e-14       5.013023236389e-14       0.000000000000e+00       5.090886015950e-11       5.541213739787e-12      -8.546294872965e-15 
   52       1.965688633900e-10       1.805211164661e-14       2.317696010713e-14       0.000000000000e+00       4.879439374844e-11       5.330303829609e-12      -8.472946072878e-15 
