# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.384441451561e-10       4.189939482984e-15       3.524590954502e-13       2.371897415292e-19       8.356861041780e-09       4.603647890632e-10      -1.844110637818e-12 
    3       1.310175182266e-10       5.371672427269e-15       3.966066855763e-13       4.744740602709e-19       5.134882431525e-09       3.260244470997e-10      -1.397328754687e-12 
    4       1.240775133774e-10       4.646827206751e-15       3.713333483510e-13       7.909985645316e-19       3.558522729659e-09       2.466851377674e-10      -9.151005964092e-13 
    5       1.189408118127e-10       3.100837675840e-15       3.166303306768e-13       1.186884648496e-18       2.649340487874e-09       1.947666889373e-10      -5.089180029026e-13 
    6       1.154827125995e-10       1.735339502582e-15       2.553775381510e-13       1.662280102088e-18       2.065117258947e-09       1.583950774081e-10      -2.096638455299e-13 
    7       1.132967745802e-10       9.392710327820e-16       2.008585771671e-13       2.217356633289e-18       1.663026895413e-09       1.316928061922e-10      -1.893275723983e-14 
    8       1.121030848726e-10       6.070343853461e-16       1.589291247075e-13       2.852307045790e-18       1.372332877380e-09       1.114424510899e-10       7.821414744455e-14 
    9       1.116493710346e-10       4.880031193995e-16       1.309304869237e-13       3.567342146123e-18       1.154105376321e-09       9.573538326847e-11       1.051794998403e-13 
   10       1.117012583050e-10       4.175252694760e-16       1.155738067460e-13       4.362687460337e-18       9.853702738460e-10       8.329351361671e-11       8.790757714025e-14 
   11       1.122016668823e-10       3.540058228442e-16       1.102098421302e-13       5.238579843721e-18       8.435139668007e-10       7.397953809810e-11       5.061099601199e-14 
   12       1.129942270837e-10       3.125328214055e-16       1.117714591629e-13       6.195264067861e-18       7.372551086000e-10       6.540084371358e-11       1.087833388021e-14 
   13       1.140294443991e-10       3.035050888270e-16       1.175601557229e-13       7.232989467497e-18       6.499771631975e-10       5.842983082597e-11      -1.923013864182e-14 
   14       1.152600870908e-10       3.187269927693e-16       1.255331692658e-13       8.352006725280e-18       5.773278202720e-10       5.235891744508e-11      -3.549249398300e-14 
   15       1.166713771448e-10       3.466926605341e-16       1.343799902924e-13       9.552564865819e-18       5.161535436100e-10       4.725043890651e-11      -3.816081992002e-14 
   16       1.181849684055e-10       3.853041020089e-16       1.434234892277e-13       1.083490852162e-17       4.641201924679e-10       4.284538373958e-11      -3.126559903385e-14 
   17       1.198322586831e-10       4.404009750252e-16       1.524302324162e-13       1.219927552290e-17       4.194676076880e-10       3.900024493265e-11      -2.006470532272e-14 
   18       1.215465758856e-10       5.174678105529e-16       1.616612159143e-13       1.364589471741e-17       3.807029786671e-10       3.564756698016e-11      -9.483077155120e-15 
   19       1.233387531734e-10       6.168004096551e-16       1.713393678229e-13       1.517498498478e-17       3.472029863597e-10       3.273914414608e-11      -2.125332915350e-15 
   20       1.252029133073e-10       7.363511006813e-16       1.816036427569e-13       1.678675250313e-17       3.176933434684e-10       3.015775479221e-11       3.197196181949e-16 
   21       1.271397817903e-10       8.755580031035e-16       1.924036445853e-13       1.848139196008e-17       2.917112834109e-10       2.785625062860e-11      -1.545747372069e-15 
   22       1.291221438560e-10       1.034041003451e-15       2.035494398412e-13       2.025908370795e-17       2.686325893982e-10       2.577669119108e-11      -5.924734073253e-15 
   23       1.311565768806e-10       1.212007009978e-15       2.147140755597e-13       2.211999667437e-17       2.481491426725e-10       2.391094864211e-11      -1.102684381245e-14 
   24       1.332378448871e-10       1.409685965586e-15       2.254806631406e-13       2.406428503877e-17       2.297941664524e-10       2.224276439380e-11      -1.495414885444e-14 
   25       1.353602781429e-10       1.627345905834e-15       2.355394518646e-13       2.609209171544e-17       2.133191926557e-10       2.074922578396e-11      -1.689213213255e-14 
   26       1.375054664409e-10       1.865428220396e-15       2.446260079286e-13       2.820354608075e-17       1.984023082712e-10       1.939230850834e-11      -1.652529081622e-14 
   27       1.396830907580e-10       2.125659464120e-15       2.526690130666e-13       3.039877188267e-17       1.849663658822e-10       1.816255270699e-11      -1.438629852171e-14 
   28       1.418961997033e-10       2.410407432555e-15       2.596813269220e-13       3.267787984471e-17       1.728487648497e-10       1.704449548714e-11      -1.150892890162e-14 
   29       1.441342186630e-10       2.722063216861e-15       2.657073534989e-13       3.504096784473e-17       1.617555885892e-10       1.601155683381e-11      -9.044943935154e-15 
   30       1.464038396252e-10       3.061781356126e-15       2.707960361256e-13       3.748813388705e-17       1.516257410126e-10       1.506265454209e-11      -7.389757506206e-15 
   31       1.487067233819e-10       3.430230242305e-15       2.750218169415e-13       4.001946710610e-17       1.423840627025e-10       1.419777570101e-11      -6.721433089946e-15 
   32       1.510347051546e-10       3.828021208683e-15       2.784525154135e-13       4.263504691884e-17       1.338844116380e-10       1.340975730091e-11      -7.122109301159e-15 
   33       1.533872446865e-10       4.256147463000e-15       2.810039058048e-13       4.533495366315e-17       1.260805010350e-10       1.269189791724e-11      -8.227180803875e-15 
   34       1.557579349839e-10       4.715696045650e-15       2.825300826002e-13       4.811926133247e-17       1.189032363298e-10       1.203168214358e-11      -9.431692615208e-15 
   35       1.581354532119e-10       5.207716376422e-15       2.828758964951e-13       5.098803688863e-17       1.122458206527e-10       1.141304590074e-11      -1.012786911174e-14 
   36       1.605270618595e-10       5.733169623222e-15       2.819347721070e-13       5.394134825283e-17       1.060909541258e-10       1.083382182624e-11      -1.025210884600e-14 
   37       1.629417554891e-10       6.292955851735e-15       2.796091057870e-13       5.697925893153e-17       1.004193238812e-10       1.029351346885e-11      -9.923722861084e-15 
   38       1.653831965985e-10       6.887922307111e-15       2.757942954004e-13       6.010182588450e-17       9.517114823896e-11       9.788267075728e-12      -9.303996465463e-15 
   39       1.678507294091e-10       7.518850137664e-15       2.704037405226e-13       6.330909995967e-17       9.026772642708e-11       9.312694970553e-12      -8.574009366198e-15 
   40       1.703444365115e-10       8.186418893067e-15       2.634553493495e-13       6.660112740528e-17       8.569400703778e-11       8.866870070738e-12      -7.851478029601e-15 
   41       1.728607055521e-10       8.891223193385e-15       2.550136684102e-13       6.997794885314e-17       8.143792473764e-11       8.451181980736e-12      -7.250733632452e-15 
   42       1.753901829255e-10       9.633776275598e-15       2.451683274141e-13       7.343959893794e-17       7.746576399742e-11       8.064246257909e-12      -6.906697179434e-15 
   43       1.779223543179e-10       1.041457229538e-14       2.339994481439e-13       7.698610414690e-17       7.373461585942e-11       7.703594338594e-12      -6.933170057724e-15 
   44       1.804622586963e-10       1.123430771610e-14       2.214575736953e-13       8.061747551585e-17       7.023869852689e-11       7.368372589558e-12      -7.279402676555e-15 
   45       1.830180852699e-10       1.209372093100e-14       2.074487260281e-13       8.433371369246e-17       6.697441383506e-11       7.057219995721e-12      -7.830768504485e-15 
   46       1.855963078948e-10       1.299353071238e-14       1.918663625214e-13       8.813481079799e-17       6.392644033884e-11       6.767393940925e-12      -8.446247220051e-15 
   47       1.882014749599e-10       1.393443570083e-14       1.745905348537e-13       9.202075031172e-17       6.106681960503e-11       6.494666869704e-12      -8.956878197161e-15 
   48       1.908361425150e-10       1.491702407928e-14       1.555113341554e-13       9.599150451523e-17       5.836355368639e-11       6.234541602293e-12      -9.211995569914e-15 
   49       1.935011416313e-10       1.594147367828e-14       1.346090041298e-13       1.000470262433e-16       5.581139535352e-11       5.986543507225e-12      -9.236953649391e-15 
   50       1.961950254063e-10       1.700776645654e-14       1.118949657020e-13       1.041872546090e-16       5.340816739969e-11       5.750960692950e-12      -9.117205284844e-15 
   51       1.989137344874e-10       1.811576596758e-14       8.738989062450e-14       1.084121170067e-16       5.114559135084e-11       5.527595818434e-12      -8.955271511861e-15 
   52       2.016503942652e-10       1.926521226660e-14       6.112409945270e-14       1.127215288719e-16       4.900885902209e-11       5.315730033155e-12      -8.871632873445e-15 
   53       2.043980499149e-10       2.045584523800e-14       3.312358729844e-14       1.171153958893e-16       4.698127478705e-11       5.114434474513e-12      -8.973867706398e-15 
   54       2.071591640279e-10       2.168782353302e-14       3.362966353389e-15       1.215936218348e-16       4.506057005370e-11       4.923681803079e-12      -9.252698536530e-15 
   55       2.099382077661e-10       2.296140448233e-14      -2.819888351312e-14       1.261561023313e-16       4.324603722375e-11       4.743457643255e-12      -9.660768201813e-15 
   56       2.127388589546e-10       2.427682538957e-14      -6.160570172988e-14       1.308027224436e-16       4.153361520984e-11       4.573417040603e-12      -1.014162295678e-14 
   57       2.155639224558e-10       2.563430382276e-14      -9.690405165679e-14       1.355333565400e-16       3.991567360062e-11       4.412862974470e-12      -1.062927242947e-14 
   58       2.184152505438e-10       2.703403790567e-14      -1.341435252178e-13       1.403478681557e-16       3.838079682578e-11       4.260724870629e-12      -1.104774957835e-14 
   59       2.212940557768e-10       2.847608399758e-14      -1.733635867368e-13       1.452461195959e-16       3.691692128707e-11       4.115847308728e-12      -1.132924753578e-14 
   60       2.242021153073e-10       2.995995589917e-14      -2.145500719140e-13       1.502280036624e-16       3.552208769995e-11       3.977983240045e-12      -1.147444802408e-14 
   61       2.271407060186e-10       3.148493291985e-14      -2.576689303223e-13       1.552934190652e-16       3.419580874594e-11       3.846993858521e-12      -1.150545017882e-14 
   62       2.301101716498e-10       3.305017051962e-14      -3.026784547584e-13       1.604422615182e-16       3.293583556833e-11       3.722547938045e-12      -1.144861130788e-14 
   63       2.331098564754e-10       3.465469644411e-14      -3.495290329664e-13       1.656744239316e-16       3.173805559715e-11       3.604110860165e-12      -1.133473657339e-14 
   64       2.361380389842e-10       3.629740685961e-14      -3.981628993633e-13       1.709897966053e-16       3.059639037403e-11       3.490933641795e-12      -1.119926867366e-14 
   65       2.391928700562e-10       3.797718570902e-14      -4.485270612989e-13       1.763882806139e-16       2.950446909303e-11       3.382258055795e-12      -1.107447167452e-14 
   66       2.422755673971e-10       3.969330084064e-14      -5.006158173511e-13       1.818698308268e-16       2.846129067244e-11       3.278007129371e-12      -1.096363246888e-14 
   67       2.453877810737e-10       4.144508511152e-14      -5.544368264609e-13       1.874344223703e-16       2.746658170751e-11       3.178221699392e-12      -1.086171856308e-14 
   68       2.485306112045e-10       4.323182015890e-14      -6.099988459539e-13       1.930820387903e-16       2.651907504119e-11       3.082852387583e-12      -1.076286819879e-14 
   69       2.517045697356e-10       4.505273598196e-14      -6.673118517835e-13       1.988126726142e-16       2.561645725948e-11       2.991754672789e-12      -1.066035609494e-14 
   70       2.549095422186e-10       4.690701052364e-14      -7.263871587742e-13       2.046263259123e-16       2.475531618665e-11       2.904683963242e-12      -1.054655918985e-14 
   71       2.581447495873e-10       4.879376925244e-14      -7.872375408641e-13       2.105230108596e-16       2.393108838059e-11       2.821290668828e-12      -1.041292238318e-14 
