# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 4000, i.e. number of multipoles equal to 3999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.383589786664e-10       4.185902779958e-15       3.521317413091e-13       2.481225713713e-19       8.336441795549e-09       4.591963893209e-10      -1.843264097949e-12 
    3       1.309142075672e-10       5.366227420776e-15       3.961932614303e-13       4.963601452498e-19       5.131445959683e-09       3.251688391737e-10      -1.396551087948e-12 
    4       1.239420915683e-10       4.641658006271e-15       3.708223050838e-13       8.275195321910e-19       3.557233991658e-09       2.460019340216e-10      -9.144547835891e-13 
    5       1.187621930685e-10       3.096862489657e-15       3.160488881399e-13       1.241745997166e-18       2.648697078295e-09       1.942243403640e-10      -5.084406430326e-13 
    6       1.152534998793e-10       1.732468601974e-15       2.547473143903e-13       1.739214420714e-18       2.064837375444e-09       1.579677738251e-10      -2.092951071140e-13 
    7       1.130130744296e-10       9.372201783448e-16       2.001948545539e-13       2.320125196456e-18       1.662862318710e-09       1.313587947061e-10      -1.860028000300e-14 
    8       1.117622165489e-10       6.055850416639e-16       1.582293489999e-13       2.984699653502e-18       1.372292940801e-09       1.111856698046e-10       7.858185954286e-14 
    9       1.112511635989e-10       4.868873859317e-16       1.301742866730e-13       3.733175168688e-18       1.154251463606e-09       9.554264319120e-11       1.056250890005e-13 
   10       1.112466891261e-10       4.163157003871e-16       1.147301683381e-13       4.565800142795e-18       9.857037310444e-10       8.315222138236e-11       8.843283927173e-14 
   11       1.116918058874e-10       3.522294939902e-16       1.092429077563e-13       5.482829017285e-18       8.436734407179e-10       7.386953142553e-11       5.117146538883e-14 
   12       1.124310454232e-10       3.098753184720e-16       1.106460438647e-13       6.484517503288e-18       7.375403719714e-10       6.532605413112e-11       1.143517425917e-14 
   13       1.134148602843e-10       2.998749911883e-16       1.162429512413e-13       7.571118183043e-18       6.503638211120e-10       5.838374375745e-11      -1.873431757429e-14 
   14       1.145963626080e-10       3.141300863823e-16       1.239968658452e-13       8.742876626033e-18       5.777964700021e-10       5.233859722993e-11      -3.509828663305e-14 
   15       1.159606390879e-10       3.410524371071e-16       1.326021996378e-13       1.000002813858e-17       5.166884346460e-10       4.725146755269e-11      -3.789275675773e-14 
   16       1.174297483120e-10       3.783888519395e-16       1.413878248563e-13       1.134279523754e-17       4.647086168377e-10       4.286428569742e-11      -3.111615032489e-14 
   17       1.190344206656e-10       4.318524409407e-16       1.501310539361e-13       1.277138590711e-17       4.200990986600e-10       3.903421499888e-11      -1.999929701426e-14 
   18       1.207090902590e-10       5.069113191208e-16       1.590847910189e-13       1.428599228725e-17       3.813689647974e-10       3.569489062638e-11      -9.456946947927e-15 
   19       1.224646895621e-10       6.038747137359e-16       1.684736261817e-13       1.588679242332e-17       3.478963592338e-10       3.279779463084e-11      -2.098635633786e-15 
   20       1.242948985445e-10       7.207115903773e-16       1.784428712683e-13       1.757394678574e-17       3.184081544269e-10       3.022507686194e-11       3.745440105585e-16 
   21       1.262004665671e-10       8.568273779306e-16       1.889408160727e-13       1.934760500551e-17       2.924424368488e-10       2.793001029125e-11      -1.442453630559e-15 
