# Matter power spectrum P(k) at redshift z=0
# for k=1.04207e-05 to 7.14249 h/Mpc,
# number of wavenumbers equal to 639
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.346163977768e-02       2.533208225032e+04 
       1.359036486548e-02       2.538234668601e+04 
       1.371912623900e-02       2.543035627834e+04 
       1.384792400797e-02       2.547613240547e+04 
       1.397675830518e-02       2.551972044745e+04 
       1.410562928612e-02       2.556113656565e+04 
       1.423453712866e-02       2.560040009870e+04 
       1.436348203270e-02       2.563755286147e+04 
       1.449246421995e-02       2.567259707490e+04 
       1.462148393366e-02       2.570557373968e+04 
       1.475054143843e-02       2.573650370538e+04 
       1.487963701999e-02       2.576541127228e+04 
       1.500877098507e-02       2.579232077669e+04 
       1.513794366129e-02       2.581725655658e+04 
       1.526715539701e-02       2.584024603529e+04 
       1.539640656128e-02       2.586130727199e+04 
       1.552569754378e-02       2.588046844798e+04 
       1.565502875478e-02       2.589775046387e+04 
       1.578440062512e-02       2.591319216149e+04 
       1.591381360623e-02       2.592678817918e+04 
       1.604326817018e-02       2.593858540935e+04 
       1.617276480966e-02       2.594860035919e+04 
       1.630230403812e-02       2.595685304535e+04 
       1.643188638984e-02       2.596336394888e+04 
       1.656151241999e-02       2.596816094776e+04 
       1.669118270482e-02       2.597126990918e+04 
       1.682089784176e-02       2.597270366108e+04 
       1.695065844960e-02       2.597249747162e+04 
       1.708046516865e-02       2.597065671423e+04 
       1.721031866094e-02       2.596721265917e+04 
       1.734021961044e-02       2.596218362633e+04 
       1.747016872328e-02       2.595560487333e+04 
       1.760016672800e-02       2.594747648742e+04 
       1.773021437580e-02       2.593783805338e+04 
       1.786031244084e-02       2.592669536497e+04 
       1.799046172052e-02       2.591407456075e+04 
       1.812066303577e-02       2.590001154545e+04 
       1.825091723144e-02       2.588451106653e+04 
       1.838122517657e-02       2.586758414515e+04 
       1.851158776480e-02       2.584927812638e+04 
       1.864200591475e-02       2.582959510855e+04 
       1.877248057037e-02       2.580854927792e+04 
       1.890301270142e-02       2.578618959195e+04 
       1.903360330383e-02       2.576250584859e+04 
       1.916425340020e-02       2.573753422264e+04 
       1.929496404023e-02       2.571128255366e+04 
       1.942573630125e-02       2.568379392297e+04 
       1.955657128865e-02       2.565505605818e+04 
       1.968747013645e-02       2.562510870860e+04 
       1.981843400785e-02       2.559396546545e+04 
       1.994946409575e-02       2.556163856498e+04 
       2.008056162334e-02       2.552815271274e+04 
       2.021172784470e-02       2.549353450845e+04 
       2.034296404542e-02       2.545779665377e+04 
       2.047427154326e-02       2.542095898045e+04 
       2.060565168875e-02       2.538301192005e+04 
       2.073710586594e-02       2.534401035573e+04 
       2.086863549305e-02       2.530394675211e+04 
       2.100024202323e-02       2.526288059242e+04 
       2.113192694532e-02       2.522080023398e+04 
       2.126369178457e-02       2.517768557757e+04 
       2.139553810349e-02       2.513361715635e+04 
       2.152746750267e-02       2.508859122408e+04 
       2.165948162160e-02       2.504260718464e+04 
       2.179158213958e-02       2.499571623744e+04 
       2.192377077661e-02       2.494790327376e+04 
       2.205604929432e-02       2.489918699390e+04 
       2.218841949695e-02       2.484958963933e+04 
       2.232088323231e-02       2.479913917318e+04 
       2.245344239284e-02       2.474786269095e+04 
       2.258609891665e-02       2.469576327837e+04 
       2.271885478860e-02       2.464279549622e+04 
       2.285171204145e-02       2.458907033622e+04 
       2.298467275698e-02       2.453459114900e+04 
       2.311773906721e-02       2.447925661884e+04 
       2.325091315565e-02       2.442324519371e+04 
       2.338419725851e-02       2.436650590953e+04 
       2.351759366607e-02       2.430899987451e+04 
       2.365110472401e-02       2.425085302941e+04 
       2.378473283481e-02       2.419193801946e+04 
       2.391848045918e-02       2.413241031007e+04 
       2.405235011755e-02       2.407224390042e+04 
       2.418634439161e-02       2.401136456794e+04 
       2.432046592589e-02       2.394989417296e+04 
       2.445471742939e-02       2.388780907037e+04 
       2.458910167727e-02       2.382509861507e+04 
       2.472362151260e-02       2.376180984537e+04 
       2.485827984814e-02       2.369791556285e+04 
       2.499307966821e-02       2.363353005874e+04 
       2.512802403062e-02       2.356855629129e+04 
       2.526311606863e-02       2.350306869881e+04 
       2.539835899303e-02       2.343701103006e+04 
       2.553375609422e-02       2.337050728442e+04 
       2.566931074444e-02       2.330343653965e+04 
       2.580502640002e-02       2.323596107884e+04 
       2.594090660369e-02       2.316796718187e+04 
       2.607695498706e-02       2.309950879653e+04 
       2.621317527309e-02       2.303062966670e+04 
       2.634957127870e-02       2.296133090054e+04 
       2.648614691742e-02       2.289157398473e+04 
       2.662290620223e-02       2.282143388237e+04 
       2.675985324837e-02       2.275087117730e+04 
       2.689699227637e-02       2.267994666301e+04 
       2.703432761512e-02       2.260864488643e+04 
       2.717186370505e-02       2.253695323217e+04 
       2.730960510149e-02       2.246492607932e+04 
       2.744755647805e-02       2.239258126187e+04 
       2.758572263023e-02       2.231987034851e+04 
       2.772410847911e-02       2.224685211554e+04 
       2.786271907513e-02       2.217353358688e+04 
       2.800155960216e-02       2.209994403333e+04 
       2.814063538155e-02       2.202598913113e+04 
       2.827995187645e-02       2.195179048043e+04 
       2.841951469629e-02       2.187732747965e+04 
       2.855932960135e-02       2.180259662607e+04 
       2.869940250761e-02       2.172760223973e+04 
       2.883973949172e-02       2.165239032173e+04 
       2.898034679622e-02       2.157695178019e+04 
       2.912123083494e-02       2.150130544862e+04 
       2.926239819861e-02       2.142534840167e+04 
       2.940385566071e-02       2.134931345675e+04 
       2.954561018357e-02       2.127298307322e+04 
       2.968766892472e-02       2.119648459712e+04 
       2.983003924349e-02       2.111984692937e+04 
       2.997272870790e-02       2.104301121552e+04 
       3.011574510183e-02       2.096600267932e+04 
       3.025909643252e-02       2.088885590748e+04 
       3.040279093836e-02       2.081151927332e+04 
       3.054683709707e-02       2.073413872836e+04 
       3.069124363419e-02       2.065650638123e+04 
       3.083601953196e-02       2.057875855572e+04 
       3.098117403861e-02       2.050103291944e+04 
       3.112671667805e-02       2.042306111593e+04 
       3.127265726003e-02       2.034503303012e+04 
       3.141900589076e-02       2.026684280094e+04 
       3.156577298395e-02       2.018858336786e+04 
       3.171296927252e-02       2.011026420741e+04 
       3.186060582069e-02       2.003191225990e+04 
       3.200869403678e-02       1.995336481959e+04 
