# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.709652615961e-10       8.125287140213e-15       2.551299663770e-13       0.000000000000e+00       8.770188256549e-11       9.113180833290e-12      -7.269649855729e-15 
   41       1.735639691176e-10       8.828649862743e-15       2.463709391854e-13       0.000000000000e+00       8.338482220462e-11       8.705506292744e-12      -6.782804638056e-15 
   42       1.761850755485e-10       9.570373671966e-15       2.362145037794e-13       0.000000000000e+00       7.934603773201e-11       8.317855644371e-12      -6.762835634845e-15 
   43       1.788311496945e-10       1.035100757175e-14       2.246084513742e-13       0.000000000000e+00       7.557497208937e-11       7.951714586576e-12      -7.062283895054e-15 
   44       1.815012342722e-10       1.117102073821e-14       2.114970225515e-13       0.000000000000e+00       7.204440678245e-11       7.607548309132e-12      -7.496024018509e-15 
   45       1.841925930432e-10       1.203084547566e-14       1.968237036248e-13       0.000000000000e+00       6.872022518971e-11       7.284979662592e-12      -7.882313315692e-15 
   46       1.869073960385e-10       1.293103156780e-14       1.805414325076e-13       0.000000000000e+00       6.559731118259e-11       6.983606425630e-12      -8.186056840303e-15 
   47       1.896474403459e-10       1.387213073085e-14       1.626048521888e-13       0.000000000000e+00       6.267212482315e-11       6.702270109915e-12      -8.414414849849e-15 
   48       1.924120063222e-10       1.485465179664e-14       1.429672688475e-13       0.000000000000e+00       5.993187259096e-11       6.438730558092e-12      -8.577311895048e-15 
   49       1.951976298960e-10       1.587905911970e-14       1.215804850248e-13       0.000000000000e+00       5.735381871120e-11       6.189588526442e-12      -8.687608015735e-15 
   50       1.980001989418e-10       1.694574455224e-14       9.839915051064e-14       0.000000000000e+00       5.491215299363e-11       5.951259612661e-12      -8.761459103716e-15 
   51       2.008224414929e-10       1.805493809693e-14       7.339559432851e-14       0.000000000000e+00       5.260238977679e-11       5.723387304301e-12      -8.819116132967e-15 
   52       2.036680765321e-10       1.920677024831e-14       4.654873035288e-14       0.000000000000e+00       5.042240138980e-11       5.506222543134e-12      -8.884638794056e-15 
