# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.690592832767e-10       7.928498021246e-15       2.578010154311e-13       6.558498281760e-17       8.533278186625e-11       8.829604441318e-12      -7.702478093219e-15 
   41       1.715333163372e-10       8.610236294846e-15       2.493492527576e-13       6.891021295579e-17       8.109687971730e-11       8.416486335314e-12      -7.101037240185e-15 
   42       1.740214160254e-10       9.328395855160e-15       2.395103791739e-13       7.231902770811e-17       7.714370180746e-11       8.031978751652e-12      -6.754772597619e-15 
   43       1.765132911458e-10       1.008344410575e-14       2.283643867621e-13       7.581146321363e-17       7.343050381940e-11       7.673568169006e-12      -6.777884769991e-15 
   44       1.790140058519e-10       1.087604798044e-14       2.158627964451e-13       7.938754062157e-17       6.995151643044e-11       7.340401185105e-12      -7.120087890517e-15 
   45       1.815317000371e-10       1.170691636519e-14       2.019130153564e-13       8.304727140753e-17       6.670314668392e-11       7.031136815845e-12      -7.667315961363e-15 
   46       1.840727698518e-10       1.257673965485e-14       1.864100316640e-13       8.679065934270e-17       6.367012886559e-11       6.743063039379e-12      -8.279222313881e-15 
   47       1.866416559448e-10       1.348618930484e-14       1.692355825275e-13       9.061770039569e-17       6.082461478000e-11       6.471994197427e-12      -8.787639525361e-15 
   48       1.892408195186e-10       1.443582903684e-14       1.502813012207e-13       9.452838005495e-17       5.813473505293e-11       6.213474407151e-12      -9.042554310412e-15 
   49       1.918711566177e-10       1.542581990376e-14       1.295278156420e-13       9.852266463240e-17       5.559525949424e-11       5.967028331086e-12      -9.068950686528e-15 
   50       1.945313367981e-10       1.645613131597e-14       1.069865171618e-13       1.026005073398e-16       5.320401650865e-11       5.732932371116e-12      -8.951532940465e-15 
   51       1.972174283090e-10       1.752661729488e-14       8.267790993253e-14       1.067618504300e-16       5.095276065326e-11       5.510978194938e-12      -8.791933173291e-15 
   52       1.999226959167e-10       1.863701151718e-14       5.663200227208e-14       1.110066249673e-16       4.882674612956e-11       5.300436770550e-12      -8.709595450532e-15 
   53       2.026403086696e-10       1.978704803816e-14       2.887458849457e-14       1.153347528194e-16       4.680934851478e-11       5.100371503225e-12      -8.811188864386e-15 
   54       2.053727460183e-10       2.097687131391e-14      -6.189478518271e-16       1.197461537632e-16       4.489830696848e-11       4.910754966876e-12      -9.087577714304e-15 
   55       2.081244580479e-10       2.220672297629e-14      -3.188863426447e-14       1.242407398058e-16       4.309291525093e-11       4.731576649442e-12      -9.491898891667e-15 
   56       2.108990888880e-10       2.347682568944e-14      -6.497703523758e-14       1.288184129891e-16       4.138912905798e-11       4.562498137801e-12      -9.968288376058e-15 
   57       2.136993965468e-10       2.478738346365e-14      -9.992945247419e-14       1.334790652536e-16       3.977935117931e-11       4.402831789686e-12      -1.045144584294e-14 
   58       2.165271727451e-10       2.613858196912e-14      -1.367941250981e-13       1.382225783012e-16       3.825221665672e-11       4.251519405594e-12      -1.086619927133e-14 
   59       2.193835734481e-10       2.753046898221e-14      -1.756093027294e-13       1.430488328947e-16       3.679571578003e-11       4.107418134769e-12      -1.114544130138e-14 
   60       2.222703821700e-10       2.896256258958e-14      -2.163605043858e-13       1.479577395863e-16       3.540789793479e-11       3.970284167043e-12      -1.128979126126e-14 
   61       2.251888988854e-10       3.043415239034e-14      -2.590136700318e-13       1.529492148963e-16       3.408827822214e-11       3.839980195153e-12      -1.132104356870e-14 
   62       2.281394902351e-10       3.194440769075e-14      -3.035271752134e-13       1.580231726847e-16       3.283461856322e-11       3.716177575994e-12      -1.126519776374e-14 
   63       2.311215232820e-10       3.349237375481e-14      -3.498515862827e-13       1.631795243339e-16       3.164282600444e-11       3.598345417237e-12      -1.115264588757e-14 
   64       2.341332992663e-10       3.507696805473e-14      -3.979294156218e-13       1.684181789326e-16       3.050685102277e-11       3.485739663965e-12      -1.101835986140e-14 
   65       2.371729878483e-10       3.669709698736e-14      -4.477078762858e-13       1.737390563678e-16       2.942035318881e-11       3.377606827874e-12      -1.089418793890e-14 
   66       2.402418085963e-10       3.835204317563e-14      -4.991808353389e-13       1.791421294133e-16       2.838233658713e-11       3.273869836766e-12      -1.078342692388e-14 
   67       2.433414068560e-10       4.004115373066e-14      -5.523553342024e-13       1.846273909086e-16       2.739252961822e-11       3.174568356623e-12      -1.068118383381e-14 
   68       2.464728751745e-10       4.176372665088e-14      -6.072394898635e-13       1.901948421708e-16       2.644967167127e-11       3.079652148221e-12      -1.058175892061e-14 
   69       2.496367150421e-10       4.351901044223e-14      -6.638426137194e-13       1.958444935388e-16       2.555146086606e-11       2.988976157737e-12      -1.047861232433e-14 
   70       2.528327986337e-10       4.530620373833e-14      -7.221753304223e-13       2.015763649176e-16       2.469450179483e-11       2.902295607364e-12      -1.036433072678e-14 
   71       2.560603305502e-10       4.712445492072e-14      -7.822496967232e-13       2.073904863227e-16       2.387425326418e-11       2.819261085933e-12      -1.023059400518e-14 
   72       2.593184498508e-10       4.897282685173e-14      -8.440707298095e-13       2.132869044650e-16       2.308619422107e-11       2.739512707294e-12      -1.007064643398e-14 
   73       2.626082549547e-10       5.085018408003e-14      -9.076088456265e-13       2.192657027588e-16       2.232969675465e-11       2.662994419338e-12      -9.887333549437e-15 
   74       2.659311000895e-10       5.275528319701e-14      -9.728223202312e-13       2.253269861559e-16       2.160480553965e-11       2.589691435446e-12      -9.686554881219e-15 
   75       2.692879662012e-10       5.468680464943e-14      -1.039665335570e-12       2.314708761160e-16       2.091106149283e-11       2.519533909828e-12      -9.474919521827e-15 
   76       2.726794373146e-10       5.664335156312e-14      -1.108087902194e-12       2.376975112890e-16       2.024747732725e-11       2.452394289953e-12      -9.259769961695e-15 
   77       2.761056768927e-10       5.862344856665e-14      -1.178035781969e-12       2.440070481975e-16       1.961251310662e-11       2.388084668990e-12      -9.049205924300e-15 
   78       2.795664041970e-10       6.062554061501e-14      -1.249450410795e-12       2.503996619184e-16       1.900405179960e-11       2.326354138240e-12      -8.852108201272e-15 
   79       2.830608706473e-10       6.264799181330e-14      -1.322268821317e-12       2.568755467661e-16       1.841937483409e-11       2.266886139575e-12      -8.678162487496e-15 
   80       2.865883222465e-10       6.468913765696e-14      -1.396429070396e-12       2.634349101810e-16       1.785583604941e-11       2.209376750837e-12      -8.535579475381e-15 
   81       2.901495313456e-10       6.674745478832e-14      -1.471887777052e-12       2.700779516749e-16       1.731307212394e-11       2.153791023754e-12      -8.423746719264e-15 
