# Matter power spectrum P(k) at redshift z=0
# for k=1.04207e-05 to 7.14249 h/Mpc,
# number of wavenumbers equal to 639
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042074545152e-05       4.833604886180e+01 
       2.327567964668e-05       1.050562331579e+02 
       3.617561717612e-05       1.608518392130e+02 
       4.915512597041e-05       2.162955363043e+02 
       6.224934323933e-05       2.717172540241e+02 
       7.549428752096e-05       3.273667021517e+02 
       8.892718066764e-05       3.834590011962e+02 
       1.025867840357e-04       4.401935073469e+02 
       1.165137531779e-04       4.977633631089e+02 
       1.307510153722e-04       5.563613808751e+02 
       1.453441743253e-04       6.161842367838e+02 
       1.603419463355e-04       6.774356384973e+02 
       1.757966320217e-04       7.403290867256e+02 
       1.917646273718e-04       8.050905043781e+02 
       2.083069772164e-04       8.719606496653e+02 
       2.254899731890e-04       9.411975302034e+02 
       2.433857966059e-04       1.013078927908e+03 
       2.620732042917e-04       1.087904860599e+03 
       2.816382519067e-04       1.166000163358e+03 
       3.021750444948e-04       1.247716791063e+03 
       3.237864973836e-04       1.333436379674e+03 
       3.465850818369e-04       1.423572327807e+03 
       3.706935186177e-04       1.518571584288e+03 
       3.962453686033e-04       1.618915867603e+03 
       4.233854528142e-04       1.725122003890e+03 
       4.522700151718e-04       1.837741104049e+03 
       4.830665212753e-04       1.957355970221e+03 
       5.159529679278e-04       2.084576747167e+03 
       5.511165650117e-04       2.220033479844e+03 
       5.887516492798e-04       2.364366192834e+03 
       6.290567058962e-04       2.518211134399e+03 
       6.722304159292e-04       2.682183622528e+03 
       7.184667229350e-04       2.856857438131e+03 
       7.679490213574e-04       3.042741453981e+03 
       8.208437077036e-04       3.240254525773e+03 
       8.772934852100e-04       3.449700590327e+03 
       9.374109452767e-04       3.671245901842e+03 
       1.001273028386e-03       3.904900830159e+03 
       1.068916959950e-03       4.150508699323e+03 
       1.140338144261e-03       4.407742722216e+03 
       1.215490290275e-03       4.676112559917e+03 
       1.294287772950e-03       4.954979590464e+03 
       1.376609959948e-03       5.243571865385e+03 
       1.462307014391e-03       5.541030363987e+03 
       1.551206561799e-03       5.846433562715e+03 
       1.643120596178e-03       6.158813034750e+03 
       1.737852080844e-03       6.477189140418e+03 
       1.835200839511e-03       6.800594524529e+03 
       1.934968493495e-03       7.128093173428e+03 
       2.036962349406e-03       7.458794856596e+03 
       2.140998258650e-03       7.791865187855e+03 
       2.246902548591e-03       8.126531730218e+03 
       2.354513167637e-03       8.462086715604e+03 
       2.463680200365e-03       8.797887195799e+03 
       2.574265903132e-03       9.133353220708e+03 
       2.686144393533e-03       9.467964857265e+03 
       2.799201105028e-03       9.801258368634e+03 
       2.913332095218e-03       1.013282204846e+04 
       3.028443275199e-03       1.046229180634e+04 
       3.144449609409e-03       1.078934677324e+04 
       3.261274320636e-03       1.111370509652e+04 
       3.378848123399e-03       1.143512018662e+04 
       3.497108500200e-03       1.175337671371e+04 
       3.615999028797e-03       1.206828764221e+04 
       3.735468764111e-03       1.237969067196e+04 
       3.855471675280e-03       1.268744611881e+04 
       3.975966136338e-03       1.299143425682e+04 
       4.096914467711e-03       1.329155298309e+04 
       4.218282525000e-03       1.358771637999e+04 
       4.340039331212e-03       1.387985243753e+04 
       4.462156748480e-03       1.416790186691e+04 
       4.584609185435e-03       1.445181642174e+04 
       4.707373336581e-03       1.473155690464e+04 
       4.830427950256e-03       1.500709104820e+04 
       4.953753622085e-03       1.527840917257e+04 
       5.077332611070e-03       1.554548920539e+04 
       5.201148675776e-03       1.580832247694e+04 
       5.325186928340e-03       1.606690482471e+04 
       5.449433704249e-03       1.632123734274e+04 
       5.573876446102e-03       1.657132706260e+04 
       5.698503599749e-03       1.681718349049e+04 
       5.823304521390e-03       1.705881947615e+04 
       5.948269394385e-03       1.729625139420e+04 
       6.073389154695e-03       1.752949808482e+04 
       6.198655423946e-03       1.775858062964e+04 
       6.324060449299e-03       1.798352277635e+04 
       6.449597049348e-03       1.820434979742e+04 
       6.575258565384e-03       1.842108867242e+04 
       6.701038817448e-03       1.863376787145e+04 
       6.826932064642e-03       1.884241711576e+04 
       6.952932969257e-03       1.904706726775e+04 
       7.079036564289e-03       1.924774951101e+04 
       7.205238224011e-03       1.944449648395e+04 
       7.331533637267e-03       1.963734146251e+04 
       7.457918783209e-03       1.982631795015e+04 
       7.584389909239e-03       2.001146023961e+04 
       7.710943510916e-03       2.019280294150e+04 
       7.837576313644e-03       2.037038098301e+04 
       7.964285255966e-03       2.054423026800e+04 
       8.091067474294e-03       2.071438612298e+04 
       8.217920288951e-03       2.088088489010e+04 
       8.344841191396e-03       2.104376244609e+04 
       8.471827832507e-03       2.120305531628e+04 
       8.598878011848e-03       2.135879963623e+04 
       8.725989667799e-03       2.151103162459e+04 
       8.853160868501e-03       2.165978784792e+04 
       8.980389803518e-03       2.180510451680e+04 
       9.107674776158e-03       2.194701753042e+04 
       9.235014196412e-03       2.208556304388e+04 
       9.362406574423e-03       2.222077685876e+04 
       9.489850514476e-03       2.235269428893e+04 
       9.617344709438e-03       2.248135125013e+04 
       9.744887935619e-03       2.260678325338e+04 
       9.872479048024e-03       2.272902516445e+04 
       1.000011697596e-02       2.284811240650e+04 
       1.012780071894e-02       2.296408004889e+04 
       1.025552934295e-02       2.307696310548e+04 
       1.038330197691e-02       2.318679603370e+04 
       1.051111780946e-02       2.329361339917e+04 
       1.063897608593e-02       2.339744946436e+04 
       1.076687610554e-02       2.349833846670e+04 
       1.089481721880e-02       2.359631385049e+04 
       1.102279882511e-02       2.369140933311e+04 
       1.115082037053e-02       2.378365777630e+04 
       1.127888134562e-02       2.387309223367e+04 
       1.140698128360e-02       2.395974520279e+04 
       1.153511975847e-02       2.404364918661e+04 
       1.166329638336e-02       2.412483620233e+04 
       1.179151080895e-02       2.420333813560e+04 
       1.191976272205e-02       2.427918682213e+04 
       1.204805184421e-02       2.435241392820e+04 
       1.217637793049e-02       2.442305080000e+04 
       1.230474076829e-02       2.449112932168e+04 
       1.243314017624e-02       2.455668049790e+04 
       1.256157600321e-02       2.461973563511e+04 
       1.269004812738e-02       2.468032570494e+04 
       1.281855645537e-02       2.473848115449e+04 
       1.294710092141e-02       2.479423213730e+04 
       1.307568148662e-02       2.484760740811e+04 
       1.320429813832e-02       2.489863547121e+04 
       1.333295088939e-02       2.494734507762e+04 
       1.346163977768e-02       2.499376501756e+04 
       1.359036486548e-02       2.503792404658e+04 
       1.371912623900e-02       2.507985120690e+04 
       1.384792400797e-02       2.511957534298e+04 
       1.397675830518e-02       2.515712437903e+04 
       1.410562928612e-02       2.519252632577e+04 
       1.423453712866e-02       2.522580917053e+04 
       1.436348203270e-02       2.525699969325e+04 
       1.449246421995e-02       2.528612591256e+04 
       1.462148393366e-02       2.531321453762e+04 
       1.475054143843e-02       2.533829271540e+04 
       1.487963701999e-02       2.536138684405e+04 
       1.500877098507e-02       2.538252301042e+04 
       1.513794366129e-02       2.540172810437e+04 
       1.526715539701e-02       2.541902769151e+04 
       1.539640656128e-02       2.543444772187e+04 
       1.552569754378e-02       2.544801311982e+04 
       1.565502875478e-02       2.545975024752e+04 
       1.578440062512e-02       2.546968408830e+04 
       1.591381360623e-02       2.547783949703e+04 
       1.604326817018e-02       2.548424117275e+04 
       1.617276480966e-02       2.548891393558e+04 
       1.630230403812e-02       2.549188188298e+04 
       1.643188638984e-02       2.549316970035e+04 
       1.656151241999e-02       2.549280096396e+04 
       1.669118270482e-02       2.549079944799e+04 
       1.682089784176e-02       2.548718969527e+04 
       1.695065844960e-02       2.548199425705e+04 
       1.708046516865e-02       2.547523677152e+04 
       1.721031866094e-02       2.546693977939e+04 
       1.734021961044e-02       2.545712693384e+04 
       1.747016872328e-02       2.544582067004e+04 
       1.760016672800e-02       2.543304332536e+04 
       1.773021437580e-02       2.541881765146e+04 
       1.786031244084e-02       2.540316563383e+04 
       1.799046172052e-02       2.538610900008e+04 
       1.812066303577e-02       2.536766954744e+04 
       1.825091723144e-02       2.534786947778e+04 
       1.838122517657e-02       2.532672969019e+04 
       1.851158776480e-02       2.530427171781e+04 
       1.864200591475e-02       2.528051669888e+04 
       1.877248057037e-02       2.525548552982e+04 
       1.890301270142e-02       2.522919883654e+04 
       1.903360330383e-02       2.520167731993e+04 
       1.916425340020e-02       2.517294133101e+04 
       1.929496404023e-02       2.514301098266e+04 
       1.942573630125e-02       2.511190627967e+04 
       1.955657128865e-02       2.507964718649e+04 
       1.968747013645e-02       2.504625338546e+04 
       1.981843400785e-02       2.501174466135e+04 
       1.994946409575e-02       2.497614003737e+04 
       2.008056162334e-02       2.493945909835e+04 
       2.021172784470e-02       2.490172037116e+04 
       2.034296404542e-02       2.486294311347e+04 
       2.047427154326e-02       2.482314585128e+04 
       2.060565168875e-02       2.478234744699e+04 
       2.073710586594e-02       2.474056570500e+04 
       2.086863549305e-02       2.469781997929e+04 
       2.100024202323e-02       2.465412578688e+04 
       2.113192694532e-02       2.460950318736e+04 
       2.126369178457e-02       2.456396912397e+04 
       2.139553810349e-02       2.451754099476e+04 
       2.152746750267e-02       2.447023577073e+04 
       2.165948162160e-02       2.442207193707e+04 
       2.179158213958e-02       2.437306591590e+04 
       2.192377077661e-02       2.432323436463e+04 
       2.205604929432e-02       2.427259444223e+04 
       2.218841949695e-02       2.422116114220e+04 
       2.232088323231e-02       2.416895246685e+04 
       2.245344239284e-02       2.411598411298e+04 
       2.258609891665e-02       2.406227181286e+04 
       2.271885478860e-02       2.400783147916e+04 
       2.285171204145e-02       2.395267906005e+04 
       2.298467275698e-02       2.389683008818e+04 
       2.311773906721e-02       2.384029973948e+04 
       2.325091315565e-02       2.378310330159e+04 
       2.338419725851e-02       2.372525586609e+04 
       2.351759366607e-02       2.366677227102e+04 
       2.365110472401e-02       2.360766696876e+04 
       2.378473283481e-02       2.354795479483e+04 
       2.391848045918e-02       2.348765013002e+04 
       2.405235011755e-02       2.342676757470e+04 
       2.418634439161e-02       2.336531949705e+04 
       2.432046592589e-02       2.330332174701e+04 
       2.445471742939e-02       2.324078732287e+04 
       2.458910167727e-02       2.317773003835e+04 
       2.472362151260e-02       2.311416255787e+04 
       2.485827984814e-02       2.305009887899e+04 
       2.499307966821e-02       2.298555173449e+04 
       2.512802403062e-02       2.292053437780e+04 
       2.526311606863e-02       2.285505937146e+04 
