# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.384790784773e-10       4.192551388976e-15       3.525875942343e-13       2.380592486198e-19       8.361710218275e-09       4.605543821782e-10      -1.844879111738e-12 
    3       1.310697588160e-10       5.375868292144e-15       3.968591669568e-13       4.762136718554e-19       5.138152470422e-09       3.261711871365e-10      -1.398122521198e-12 
    4       1.241400210538e-10       4.651274486921e-15       3.716708346434e-13       7.938992366874e-19       3.560969444787e-09       2.468069602859e-10      -9.158092880387e-13 
    5       1.190076993163e-10       3.104449255384e-15       3.169942199419e-13       1.191238111542e-18       2.651284449705e-09       1.948727447055e-10      -5.095015316743e-13 
    6       1.155501829337e-10       1.737703115339e-15       2.557192936084e-13       1.668379035165e-18       2.066724657602e-09       1.584902101791e-10      -2.101166857505e-13 
    7       1.133626977324e-10       9.405607476105e-16       2.011559564813e-13       2.225494826693e-18       1.664391968340e-09       1.317796823033e-10      -1.926792452960e-14 
    8       1.121669230642e-10       6.076895954055e-16       1.591860532216e-13       2.862779549019e-18       1.373514042438e-09       1.115229203010e-10       7.797646308908e-14 
    9       1.117115082330e-10       4.884425850715e-16       1.311674199629e-13       3.580445399788e-18       1.155142474193e-09       9.581101545267e-11       1.050186149169e-13 
   10       1.117625036862e-10       4.180112230608e-16       1.158159683008e-13       4.378719410329e-18       9.862918230026e-10       8.336540252552e-11       8.780524916041e-14 
   11       1.122633948617e-10       3.546474847551e-16       1.104778860081e-13       5.257840036286e-18       8.443364819228e-10       7.404827928718e-11       5.055325884633e-14 
   12       1.130576175540e-10       3.133597951934e-16       1.120773360563e-13       6.218053724490e-18       7.379996255579e-10       6.546666982568e-11       1.085028692185e-14 
   13       1.140959109612e-10       3.045414194940e-16       1.179082160748e-13       7.259611538826e-18       6.506551464365e-10       5.849303553197e-11      -1.923878689414e-14 
   14       1.153310068968e-10       3.200292950052e-16       1.259230583801e-13       8.382765923487e-18       5.779483276171e-10       5.242000352539e-11      -3.549187834023e-14 
   15       1.167479780684e-10       3.483508168962e-16       1.348102251647e-13       9.587767675284e-18       5.167238743082e-10       4.730961442160e-11      -3.815809919840e-14 
   16       1.182679568172e-10       3.874224359010e-16       1.438942868094e-13       1.087486318791e-17       4.646463158138e-10       4.290249753738e-11      -3.126634415885e-14 
   17       1.199227105584e-10       4.430832582808e-16       1.529436858882e-13       1.224429202042e-17       4.199544746468e-10       3.905516607997e-11      -2.007284209198e-14 
