# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833539854142e+01 
       2.326965112994e-05       1.050302713014e+02 
       3.616368418034e-05       1.608012201085e+02 
       4.913719193480e-05       2.162204369377e+02 
       6.222526308808e-05       2.716175867289e+02 
       7.546386576344e-05       3.272421918045e+02 
       8.889016875518e-05       3.833092336077e+02 
       1.025428769313e-04       4.400178772043e+02 
       1.164625850822e-04       4.975611045100e+02 
       1.306921545348e-04       5.561316357430e+02 
       1.452771168578e-04       6.159259498464e+02 
       1.602661089286e-04       6.771476059516e+02 
       1.757113434590e-04       7.400099738705e+02 
       1.916691187203e-04       8.047388013756e+02 
       2.082003705715e-04       8.715746802843e+02 
       2.253712688491e-04       9.407754926126e+02 
       2.432538585641e-04       1.012618883794e+03 
       2.619267439530e-04       1.087404755016e+03 
       2.814758099843e-04       1.165457808133e+03 
       3.019949711088e-04       1.247129987048e+03 
       3.235869304925e-04       1.332802926316e+03 
       3.463639242877e-04       1.422890113107e+03 
       3.704484143167e-04       1.517838719560e+03 
       3.959736785986e-04       1.618130851707e+03 
       4.230842324495e-04       1.724283953757e+03 
       4.519359939257e-04       1.836850017044e+03 
       4.826960874217e-04       1.956413191868e+03 
       5.155421607080e-04       2.083585331188e+03 
       5.506610775242e-04       2.218998974282e+03 
       5.882468456576e-04       2.363297298397e+03 
       6.284976563937e-04       2.517120661760e+03 
       6.716119530946e-04       2.681089566847e+03 
       7.177835209098e-04       2.855784189539e+03 
       7.671956984077e-04       3.041721074746e+03 
       8.200149493820e-04       3.239328115696e+03 
       8.763841823298e-04       3.448919505446e+03 
       9.364163376910e-04       3.670672782678e+03 
       1.000188843120e-03       3.904610335921e+03 
       1.067739531294e-03       4.150587589544e+03 
       1.139064504489e-03       4.408289592592e+03 
       1.214118222770e-03       4.677236823794e+03 
       1.292815824085e-03       4.956799923532e+03 
       1.375037411211e-03       5.246199127022e+03 
       1.460633820754e-03       5.544574063745e+03 
       1.549433265394e-03       5.851019150477e+03 
       1.641248225604e-03       6.164566740022e+03 
       1.735882045929e-03       6.484236767969e+03 
       1.833134829652e-03       6.809060572993e+03 
       1.932808385381e-03       7.138100206782e+03 
       2.034710127534e-03       7.470463032139e+03 
       2.138655950016e-03       7.805311858635e+03 
       2.244472171370e-03       8.141871129084e+03 
       2.351996692680e-03       8.479429772945e+03 
       2.461079523784e-03       8.817341427517e+03 
       2.571582828056e-03       9.155022732990e+03 
       2.683380619173e-03       9.491950278856e+03 
       2.796358221359e-03       9.827656762380e+03 
       2.910411581825e-03       1.016172663274e+04 
       3.025446503116e-03       1.049379158767e+04 
       3.141377844999e-03       1.082352608478e+04 
       3.258128730790e-03       1.115064306393e+04 
       3.375629781505e-03       1.147489009383e+04 
       3.493818392485e-03       1.179604529974e+04 
       3.612638060755e-03       1.211391486993e+04 
       3.732037766814e-03       1.242832907279e+04 
       3.851971411454e-03       1.273914061927e+04 
       3.972397306111e-03       1.304622165321e+04 
       4.093277713990e-03       1.334946194262e+04 
       4.214578438467e-03       1.364876711781e+04 
       4.336268454921e-03       1.394405689266e+04 
       4.458319582072e-03       1.423526389992e+04 
       4.580706188991e-03       1.452233183688e+04 
       4.703404934129e-03       1.480520991493e+04 
       4.826394532960e-03       1.508381977840e+04 
       4.949655551135e-03       1.535823510279e+04 
       5.073170220304e-03       1.562835145696e+04 
       5.196922274055e-03       1.589417801450e+04 
