# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.384785941476e-10       4.192313329673e-15       3.525875981347e-13       0.000000000000e+00       8.361710218275e-09       4.605543821782e-10      -1.844879111738e-12 
    3       1.310687926636e-10       5.375392077937e-15       3.968591843554e-13       0.000000000000e+00       5.138152470422e-09       3.261711871365e-10      -1.398122521198e-12 
    4       1.241384163013e-10       4.650480585056e-15       3.716708846987e-13       0.000000000000e+00       3.560969444787e-09       2.468069602859e-10      -9.158092880387e-13 
    5       1.190053023388e-10       3.103258008275e-15       3.169943341488e-13       0.000000000000e+00       2.651284449705e-09       1.948727447055e-10      -5.095015316743e-13 
    6       1.155468438883e-10       1.736034711770e-15       2.557195185860e-13       0.000000000000e+00       2.066724657602e-09       1.584902101791e-10      -2.101166857505e-13 
    7       1.133582710910e-10       9.383351957149e-16       2.011563565767e-13       0.000000000000e+00       1.664391968340e-09       1.317796823033e-10      -1.926792452960e-14 
    8       1.121612680376e-10       6.048266979111e-16       1.591867128996e-13       0.000000000000e+00       1.373514042438e-09       1.115229203010e-10       7.797646308908e-14 
    9       1.117044890786e-10       4.848619173590e-16       1.311684459579e-13       0.000000000000e+00       1.155142474193e-09       9.581101545267e-11       1.050186149169e-13 
   10       1.117539898963e-10       4.136321146310e-16       1.158174915098e-13       0.000000000000e+00       9.862918230026e-10       8.336540252552e-11       8.780524916041e-14 
   11       1.122532612309e-10       3.493890047167e-16       1.104800631114e-13       0.000000000000e+00       8.443364819228e-10       7.404827928718e-11       5.055325884633e-14 
   12       1.130457441332e-10       3.071407423954e-16       1.120803508555e-13       0.000000000000e+00       7.379996255579e-10       6.546666982568e-11       1.085028692185e-14 
   13       1.140821829039e-10       2.972803178995e-16       1.179122805428e-13       0.000000000000e+00       6.506551464365e-10       5.849303553197e-11      -1.923878689414e-14 
   14       1.153153142107e-10       3.116443948571e-16       1.259284134228e-13       0.000000000000e+00       5.779483276171e-10       5.242000352539e-11      -3.549187834023e-14 
   15       1.167302152871e-10       3.387601021407e-16       1.348171410971e-13       0.000000000000e+00       5.167238743082e-10       4.730961442160e-11      -3.815809919840e-14 
   16       1.182480226086e-10       3.765436382246e-16       1.439030635546e-13       0.000000000000e+00       4.646463158138e-10       4.290249753738e-11      -3.126634415885e-14 
   17       1.199005072888e-10       4.308338779777e-16       1.529546529066e-13       0.000000000000e+00       4.199544746468e-10       3.905516607997e-11      -2.007284209198e-14 
   18       1.216205619247e-10       5.071104614703e-16       1.622347361469e-13       0.000000000000e+00       3.811546267846e-10       3.570038102738e-11      -9.500892111240e-15 
   19       1.234188835110e-10       6.056739293100e-16       1.719662512754e-13       0.000000000000e+00       3.476231712515e-10       3.278991984600e-11      -2.153583485738e-15 
   20       1.252896275565e-10       7.244850477914e-16       1.822871768759e-13       0.000000000000e+00       3.180849559582e-10       3.020640831476e-11       2.820416288148e-16 
   21       1.272334516022e-10       8.629939620378e-16       1.931455642137e-13       0.000000000000e+00       2.920769764719e-10       2.790267588284e-11      -1.590741042965e-15 
   22       1.292230324229e-10       1.020833232003e-15       2.043495644084e-13       0.000000000000e+00       2.689745950174e-10       2.582079021608e-11      -5.974122152061e-15 
   23       1.312649340138e-10       1.198216138549e-15       2.155710708740e-13       0.000000000000e+00       2.484695252045e-10       2.395268440710e-11      -1.107753337320e-14 
   24       1.333539220028e-10       1.395377474553e-15       2.263923880559e-13       0.000000000000e+00       2.300946566721e-10       2.228215651323e-11      -1.500327557684e-14 
   25       1.354842551674e-10       1.612596365203e-15       2.365037715176e-13       0.000000000000e+00       2.136013674457e-10       2.078628146630e-11      -1.693743870780e-14 
   26       1.376374317007e-10       1.850327647479e-15       2.456411320310e-13       0.000000000000e+00       1.986675056605e-10       1.942699691988e-11      -1.656542768308e-14 
   27       1.398231207645e-10       2.110310407903e-15       2.537332952532e-13       0.000000000000e+00       1.852159055969e-10       1.819488041460e-11      -1.442086403275e-14 
   28       1.420443899073e-10       2.394925133095e-15       2.607932995806e-13       0.000000000000e+00       1.730838525264e-10       1.707452624658e-11      -1.153869385282e-14 
   29       1.442906840774e-10       2.706575519350e-15       2.668657437700e-13       0.000000000000e+00       1.619771787510e-10       1.603940212586e-11      -9.071857556506e-15 
   30       1.465686812575e-10       3.046426108060e-15       2.719993469999e-13       0.000000000000e+00       1.518347613354e-10       1.508844540519e-11      -7.415872287113e-15 
   31       1.488800150799e-10       3.415154129453e-15       2.762681701249e-13       0.000000000000e+00       1.425813905777e-10       1.422164281910e-11      -6.748470901273e-15 
