# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.384255103482e-10       4.191163209632e-15       3.524706508151e-13       0.000000000000e+00       8.341807337458e-09       4.597251370406e-10      -1.844649770892e-12 
    3       1.310058700611e-10       5.373282645254e-15       3.966392390992e-13       0.000000000000e+00       5.124396192287e-09       3.254254565157e-10      -1.397874833517e-12 
    4       1.240668495536e-10       4.647707860047e-15       3.713460322006e-13       0.000000000000e+00       3.550479174657e-09       2.461329529090e-10      -9.155735495191e-13 
    5       1.189243961953e-10       3.100109700958e-15       3.165640577982e-13       0.000000000000e+00       2.642832156443e-09       1.942591392156e-10      -5.092824821887e-13 
    6       1.154546066342e-10       1.732743773069e-15       2.551784870453e-13       0.000000000000e+00       2.059677709636e-09       1.579297068167e-10      -2.099097482913e-13 
    7       1.132529764147e-10       9.350626222503e-16       2.004924894028e-13       0.000000000000e+00       1.658378795454e-09       1.312672086679e-10      -1.906619446144e-14 
    8       1.120395373520e-10       6.016252201247e-16       1.583835140169e-13       0.000000000000e+00       1.368295101780e-09       1.110531872856e-10       7.817766612056e-14 
    9       1.115630018770e-10       4.816460010427e-16       1.302080965231e-13       0.000000000000e+00       1.150553016937e-09       9.537811154361e-11       1.052194547604e-13 
   10       1.115902349272e-10       4.101999075254e-16       1.146824969271e-13       0.000000000000e+00       9.822138630866e-10       8.296477501536e-11       8.800137056906e-14 
   11       1.120633876603e-10       3.454817789846e-16       1.091553385042e-13       0.000000000000e+00       8.407070777641e-10       7.367812422414e-11       5.073115318943e-14 
   12       1.128277964840e-10       3.024856880469e-16       1.105536499545e-13       0.000000000000e+00       7.347223224962e-10       6.512434110227e-11       1.101251929811e-14 
   13       1.138330738215e-10       2.915849230116e-16       1.161714346185e-13       0.000000000000e+00       6.476795070014e-10       5.817638741322e-11      -1.910013075520e-14 
   14       1.150319250642e-10       3.045616546966e-16       1.239619150597e-13       0.000000000000e+00       5.752339351656e-10       5.212525658315e-11      -3.537318859660e-14 
   15       1.164096574874e-10       3.298673958407e-16       1.326148823812e-13       0.000000000000e+00       5.142377983107e-10       4.703457733510e-11      -3.805759757899e-14 
   16       1.178893117486e-10       3.653577664036e-16       1.414549245883e-13       0.000000000000e+00       4.623613963912e-10       4.264661349874e-11      -3.117712669123e-14 
   17       1.195002634810e-10       4.168366828628e-16       1.502535829086e-13       0.000000000000e+00       4.178480128126e-10       3.881777966566e-11      -1.998421979391e-14 
