# Matter power spectrum P(k) at redshift z=0
# for k=1.04207e-05 to 7.14249 h/Mpc,
# number of wavenumbers equal to 639
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.346163977768e-02       2.538472331958e+04 
       1.359036486548e-02       2.543483670658e+04 
       1.371912623900e-02       2.548270144658e+04 
       1.384792400797e-02       2.552832395290e+04 
       1.397675830518e-02       2.557174272383e+04 
       1.410562928612e-02       2.561299030681e+04 
       1.423453712866e-02       2.565207569760e+04 
       1.436348203270e-02       2.568903096981e+04 
       1.449246421995e-02       2.572388113947e+04 
       1.462148393366e-02       2.575666155873e+04 
       1.475054143843e-02       2.578737601181e+04 
       1.487963701999e-02       2.581606563108e+04 
       1.500877098507e-02       2.584275806156e+04 
       1.513794366129e-02       2.586746779059e+04 
       1.526715539701e-02       2.589021902677e+04 
       1.539640656128e-02       2.591104997170e+04 
       1.552569754378e-02       2.592996585772e+04 
       1.565502875478e-02       2.594699628266e+04 
       1.578440062512e-02       2.596218190320e+04 
       1.591381360623e-02       2.597553027013e+04 
       1.604326817018e-02       2.598706138938e+04 
       1.617276480966e-02       2.599680484615e+04 
       1.630230403812e-02       2.600479120877e+04 
       1.643188638984e-02       2.601102643306e+04 
       1.656151241999e-02       2.601555299536e+04 
       1.669118270482e-02       2.601837763312e+04 
       1.682089784176e-02       2.601951762926e+04 
       1.695065844960e-02       2.601900949243e+04 
       1.708046516865e-02       2.601688814650e+04 
       1.721031866094e-02       2.601315343280e+04 
       1.734021961044e-02       2.600782691792e+04 
       1.747016872328e-02       2.600093800619e+04 
       1.760016672800e-02       2.599250369004e+04 
       1.773021437580e-02       2.598255395921e+04 
       1.786031244084e-02       2.597110485902e+04 
       1.799046172052e-02       2.595817361634e+04 
       1.812066303577e-02       2.594379853049e+04 
       1.825091723144e-02       2.592796957394e+04 
       1.838122517657e-02       2.591072425615e+04 
       1.851158776480e-02       2.589209609591e+04 
       1.864200591475e-02       2.587207790386e+04 
       1.877248057037e-02       2.585070837198e+04 
       1.890301270142e-02       2.582802064331e+04 
       1.903360330383e-02       2.580404132212e+04 
       1.916425340020e-02       2.577869460110e+04 
       1.929496404023e-02       2.575211080955e+04 
       1.942573630125e-02       2.572427978546e+04 
       1.955657128865e-02       2.569520805966e+04 
       1.968747013645e-02       2.566491541857e+04 
       1.981843400785e-02       2.563342398045e+04 
       1.994946409575e-02       2.560076497201e+04 
       2.008056162334e-02       2.556693136370e+04 
       2.021172784470e-02       2.553197145410e+04 
       2.034296404542e-02       2.549588364266e+04 
       2.047427154326e-02       2.545869332806e+04 
       2.060565168875e-02       2.542039707007e+04 
       2.073710586594e-02       2.538106523995e+04 
       2.086863549305e-02       2.534065200076e+04 
       2.100024202323e-02       2.529922142794e+04 
       2.113192694532e-02       2.525681353173e+04 
       2.126369178457e-02       2.521335334453e+04 
       2.139553810349e-02       2.516894621913e+04 
       2.152746750267e-02       2.512356720938e+04 
       2.165948162160e-02       2.507723596114e+04 
       2.179158213958e-02       2.502996766481e+04 
       2.192377077661e-02       2.498184101222e+04 
       2.205604929432e-02       2.493278035448e+04 
       2.218841949695e-02       2.488283824993e+04 
       2.232088323231e-02       2.483205051328e+04 
       2.245344239284e-02       2.478037275970e+04 
       2.258609891665e-02       2.472797377165e+04 
       2.271885478860e-02       2.467467419015e+04 
       2.285171204145e-02       2.462059252028e+04 
       2.298467275698e-02       2.456574736734e+04 
       2.311773906721e-02       2.451012504338e+04 
       2.325091315565e-02       2.445377771059e+04 
       2.338419725851e-02       2.439665802225e+04 
       2.351759366607e-02       2.433885145585e+04 
       2.365110472401e-02       2.428024444470e+04 
       2.378473283481e-02       2.422114121046e+04 
       2.391848045918e-02       2.416119916727e+04 
       2.405235011755e-02       2.410065668563e+04 
       2.418634439161e-02       2.403946791945e+04 
       2.432046592589e-02       2.397761781666e+04 
       2.445471742939e-02       2.391520660348e+04 
       2.458910167727e-02       2.385214388034e+04 
