# Matter power spectrum P(k) at redshift z=0
# for k=1.04207e-05 to 7.14249 h/Mpc,
# number of wavenumbers equal to 639
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042074545152e-05       4.834769684138e+01 
       2.327567964668e-05       1.050814923042e+02 
       3.617561717612e-05       1.608903588156e+02 
       4.915512597041e-05       2.163470337666e+02 
       6.224934323933e-05       2.717814538828e+02 
       7.549428752096e-05       3.274433126554e+02 
       8.892718066764e-05       3.835477003079e+02 
       1.025867840357e-04       4.402939316680e+02 
       1.165137531779e-04       4.978750974008e+02 
       1.307510153722e-04       5.564839471847e+02 
       1.453441743253e-04       6.163170826346e+02 
       1.603419463355e-04       6.775781237657e+02 
       1.757966320217e-04       7.404804689880e+02 
       1.917646273718e-04       8.052499226088e+02 
       2.083069772164e-04       8.721271062252e+02 
       2.254899731890e-04       9.413698712217e+02 
       2.433857966059e-04       1.013255822372e+03 
       2.620732042917e-04       1.088084778696e+03 
       2.816382519067e-04       1.166181355035e+03 
       3.021750444948e-04       1.247897266239e+03 
       3.237864973836e-04       1.333613892315e+03 
       3.465850818369e-04       1.423744366850e+03 
       3.706935186177e-04       1.518735375481e+03 
       3.962453686033e-04       1.619068391410e+03 
       4.233854528142e-04       1.725260035664e+03 
       4.522700151718e-04       1.837861283236e+03 
       4.830665212753e-04       1.957454904979e+03 
       5.159529679278e-04       2.084651158619e+03 
       5.511165650117e-04       2.220080385145e+03 
       5.887516492798e-04       2.364383117510e+03 
       6.290567058962e-04       2.518196331313e+03 
       6.722304159292e-04       2.682136258675e+03 
       7.184667229350e-04       2.856777694940e+03 
       7.679490213574e-04       3.042630479627e+03 
       8.208437077036e-04       3.240114190237e+03 
       8.772934852100e-04       3.449533036200e+03 
       9.374109452767e-04       3.671052958320e+03 
       1.001273028386e-03       3.904683446841e+03 
       1.068916959950e-03       4.150266616881e+03 
       1.140338144261e-03       4.407474570872e+03 
       1.215490290275e-03       4.675816425786e+03 
       1.294287772950e-03       4.954653848539e+03 
       1.376609959948e-03       5.243215873214e+03 
       1.462307014391e-03       5.540644607746e+03 
       1.551206561799e-03       5.846019135463e+03 
       1.643120596178e-03       6.158370766195e+03 
       1.737852080844e-03       6.476718977901e+03 
       1.835200839511e-03       6.800095619963e+03 
       1.934968493495e-03       7.127564596488e+03 
       2.036962349406e-03       7.458236341624e+03 
       2.140998258650e-03       7.791277290878e+03 
       2.246902548591e-03       8.125915294236e+03 
       2.354513167637e-03       8.461442165286e+03 
       2.463680200365e-03       8.797214318678e+03 
       2.574265903132e-03       9.132651599428e+03 
       2.686144393533e-03       9.467234478747e+03 
       2.799201105028e-03       9.800499792287e+03 
       2.913332095218e-03       1.013203600226e+04 
       3.028443275199e-03       1.046147867430e+04 
       3.144449609409e-03       1.078850651442e+04 
       3.261274320636e-03       1.111283761123e+04 
       3.378848123399e-03       1.143422584389e+04 
       3.497108500200e-03       1.175245669741e+04 
       3.615999028797e-03       1.206734277407e+04 
       3.735468764111e-03       1.237872089179e+04 
       3.855471675280e-03       1.268645101315e+04 
       3.975966136338e-03       1.299041384028e+04 
       4.096914467711e-03       1.329050788561e+04 
       4.218282525000e-03       1.358664737321e+04 
       4.340039331212e-03       1.387875992106e+04 
       4.462156748480e-03       1.416678586295e+04 
       4.584609185435e-03       1.445067699299e+04 
       4.707373336581e-03       1.473039446706e+04 
       4.830427950256e-03       1.500590624354e+04 
       4.953753622085e-03       1.527720250410e+04 
       5.077332611070e-03       1.554426088355e+04 
       5.201148675776e-03       1.580707262444e+04 
       5.325186928340e-03       1.606563376209e+04 
       5.449433704249e-03       1.631994560795e+04 
       5.573876446102e-03       1.657001516871e+04 
       5.698503599749e-03       1.681585173654e+04 
       5.823304521390e-03       1.705746803239e+04 
       5.948269394385e-03       1.729488053247e+04 
       6.073389154695e-03       1.752810826314e+04 
       6.198655423946e-03       1.775717233884e+04 
       6.324060449299e-03       1.798209635762e+04 
       6.449597049348e-03       1.820290545492e+04 
       6.575258565384e-03       1.841962665084e+04 
       6.701038817448e-03       1.863228856629e+04 
       6.826932064642e-03       1.884092098487e+04 
       6.952932969257e-03       1.904555466850e+04 
       7.079036564289e-03       1.924622067091e+04 
       7.205238224011e-03       1.944295163144e+04 
