# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833539673796e+01 
       2.326965112994e-05       1.050302601265e+02 
       3.616368418034e-05       1.608011805017e+02 
       4.913719193480e-05       2.162203393252e+02 
       6.222526308808e-05       2.716173903414e+02 
       7.546386576344e-05       3.272418452751e+02 
       8.889016875518e-05       3.833086707701e+02 
       1.025428769313e-04       4.400170179756e+02 
       1.164625850822e-04       4.975598619431e+02 
       1.306921545348e-04       5.561298764605e+02 
       1.452771168578e-04       6.159235460028e+02 
       1.602661089286e-04       6.771443952261e+02 
       1.757113434590e-04       7.400057635871e+02 
       1.916691187203e-04       8.047333643559e+02 
       2.082003705715e-04       8.715677511282e+02 
       2.253712688491e-04       9.407667530945e+02 
       2.432538585641e-04       1.012607958187e+03 
       2.619267439530e-04       1.087391203194e+03 
       2.814758099843e-04       1.165441091673e+03 
       3.019949711088e-04       1.247109483133e+03 
       3.235869304925e-04       1.332777886592e+03 
       3.463639242877e-04       1.422859645725e+03 
       3.704484143167e-04       1.517801759275e+03 
       3.959736785986e-04       1.618086125749e+03 
       4.230842324495e-04       1.724229938868e+03 
       4.519359939257e-04       1.836784890490e+03 
       4.826960874217e-04       1.956334772126e+03 
       5.155421607080e-04       2.083491008560e+03 
       5.506610775242e-04       2.218885630364e+03 
       5.882468456576e-04       2.363161211696e+03 
       6.284976563937e-04       2.516957402135e+03 
       6.716119530946e-04       2.680893873097e+03 
       7.177835209098e-04       2.855549833916e+03 
       7.671956984077e-04       3.041440710385e+03 
       8.200149493820e-04       3.238993107365e+03 
       8.763841823298e-04       3.448519741266e+03 
       9.364163376910e-04       3.670196466879e+03 
       1.000188843120e-03       3.904043755396e+03 
       1.067739531294e-03       4.149914862710e+03 
       1.139064504489e-03       4.407492394757e+03 
       1.214118222770e-03       4.676294095565e+03 
       1.292815824085e-03       4.955687577888e+03 
       1.375037411211e-03       5.244890182410e+03 
       1.460633820754e-03       5.543038264584e+03 
       1.549433265394e-03       5.849222051172e+03 
       1.641248225604e-03       6.162469817436e+03 
       1.735882045929e-03       6.481797247177e+03 
       1.833134829652e-03       6.806231308791e+03 
       1.932808385381e-03       7.134829593848e+03 
       2.034710127534e-03       7.466694992157e+03 
       2.138655950016e-03       7.800985891734e+03 
       2.244472171370e-03       8.136922455075e+03 
       2.351996692680e-03       8.473789552168e+03 
       2.461079523784e-03       8.810937054940e+03 
       2.571582828056e-03       9.147778180454e+03 
       2.683380619173e-03       9.483786515505e+03 
       2.796358221359e-03       9.818492161641e+03 
       2.910411581825e-03       1.015147745694e+04 
       3.025446503116e-03       1.048237245440e+04 
       3.141377844999e-03       1.081085044990e+04 
       3.258128730790e-03       1.113662369795e+04 
       3.375629781505e-03       1.145943943117e+04 
       3.493818392485e-03       1.177907588170e+04 
       3.612638060755e-03       1.209533959139e+04 
       3.732037766814e-03       1.240806148586e+04 
       3.851971411454e-03       1.271709510257e+04 
       3.972397306111e-03       1.302231351843e+04 
       4.093277713990e-03       1.332360751709e+04 
       4.214578438467e-03       1.362088378687e+04 
       4.336268454921e-03       1.391406308105e+04 
       4.458319582072e-03       1.420307880798e+04 
       4.580706188991e-03       1.448787562339e+04 
       4.703404934129e-03       1.476840347448e+04 
       4.826394532960e-03       1.504458473318e+04 
       4.949655551135e-03       1.531649319513e+04 
       5.073170220304e-03       1.558402522612e+04 
       5.196922274055e-03       1.584719045199e+04 
