# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.709796467133e-10       8.124289221789e-15       2.556697327902e-13       0.000000000000e+00       8.769909099266e-11       9.101522757898e-12      -7.772899319390e-15 
   41       1.735999013815e-10       8.827858219321e-15       2.467194016847e-13       0.000000000000e+00       8.338312218406e-11       8.679297605549e-12      -7.171343737855e-15 
   42       1.762367320502e-10       9.569503843799e-15       2.363419376001e-13       0.000000000000e+00       7.935348123230e-11       8.286011041142e-12      -6.828905803546e-15 
   43       1.788792842373e-10       1.034978105164e-14       2.246173619735e-13       0.000000000000e+00       7.556690982764e-11       7.919145282898e-12      -6.861491018719e-15 
   44       1.815324718995e-10       1.116939009938e-14       2.114989136972e-13       0.000000000000e+00       7.201768634599e-11       7.577861127079e-12      -7.217465744479e-15 
   45       1.842044431779e-10       1.202905131827e-14       1.968966151667e-13       0.000000000000e+00       6.870228159405e-11       7.260820628979e-12      -7.780206319534e-15 
   46       1.869016668390e-10       1.292945664421e-14       1.807086845947e-13       0.000000000000e+00       6.560529102571e-11       6.965291142436e-12      -8.406283753977e-15 
   47       1.896287256153e-10       1.387126855529e-14       1.628207357266e-13       0.000000000000e+00       6.269850830814e-11       6.687040786679e-12      -8.923893925282e-15 
   48       1.923882019378e-10       1.485504881141e-14       1.431276349591e-13       0.000000000000e+00       5.994962823452e-11       6.421560767611e-12      -9.179882085267e-15 
   49       1.951807792483e-10       1.588102339853e-14       1.216082257336e-13       0.000000000000e+00       5.735341811203e-11       6.168383692787e-12      -9.200154092643e-15 
   50       1.980048141823e-10       1.694924949971e-14       9.827029305542e-14       0.000000000000e+00       5.490774148909e-11       5.927802936853e-12      -9.071786043222e-15 
   51       2.008560496949e-10       1.805967537841e-14       7.313009211239e-14       0.000000000000e+00       5.260427154906e-11       5.699616136975e-12      -8.899265017374e-15 
   52       2.037274131159e-10       1.921213573447e-14       4.621270398018e-14       0.000000000000e+00       5.042805596952e-11       5.483088356334e-12      -8.805398577608e-15 
   53       2.066117633082e-10       2.040646538219e-14       1.753871082486e-14       0.000000000000e+00       4.836222398728e-11       5.277270619589e-12      -8.899968367012e-15 
   54       2.095114263307e-10       2.164288529204e-14      -1.292061986251e-14       0.000000000000e+00       4.640453023830e-11       5.082136474348e-12      -9.174134279510e-15 
   55       2.124307598413e-10       2.292170772304e-14      -4.520942361123e-14       0.000000000000e+00       4.455430666005e-11       4.897673487600e-12      -9.580462200599e-15 
   56       2.153733420903e-10       2.424322689985e-14      -7.937478017975e-14       0.000000000000e+00       4.280747806197e-11       4.723532013057e-12      -1.006237017041e-14 
   57       2.183418936275e-10       2.560771932989e-14      -1.154669314566e-13       0.000000000000e+00       4.115634259100e-11       4.559003254937e-12      -1.055368543267e-14 
   58       2.213381990088e-10       2.701544412049e-14      -1.535394993610e-13       0.000000000000e+00       3.958935219695e-11       4.402997331760e-12      -1.097820148373e-14 
   59       2.243634042140e-10       2.846651170661e-14      -1.936348716109e-13       0.000000000000e+00       3.809429736891e-11       4.254338854136e-12      -1.126779424521e-14 
   60       2.274191673755e-10       2.996045371442e-14      -2.357359009509e-13       0.000000000000e+00       3.666922360559e-11       4.112783636054e-12      -1.142268946703e-14 
   61       2.305066373853e-10       3.149655359023e-14      -2.798033542207e-13       0.000000000000e+00       3.531366658373e-11       3.978199744708e-12      -1.146443323010e-14 
   62       2.336260374626e-10       3.307396534804e-14      -3.257894791766e-13       0.000000000000e+00       3.402536877971e-11       3.850259801690e-12      -1.141874578395e-14 
   63       2.367765995960e-10       3.469170942605e-14      -3.736377196078e-13       0.000000000000e+00       3.280017533403e-11       3.728429809961e-12      -1.131570771852e-14 
   64       2.399564989863e-10       3.634866854316e-14      -4.232824304531e-13       0.000000000000e+00       3.163192991575e-11       3.611957980833e-12      -1.118994613603e-14 
   65       2.431637904230e-10       3.804372216356e-14      -4.746638607648e-13       0.000000000000e+00       3.051417699316e-11       3.500081992920e-12      -1.107300316585e-14 
   66       2.463995951584e-10       3.977619229673e-14      -5.277774306075e-13       0.000000000000e+00       2.944592157076e-11       3.392726882933e-12      -1.096814481927e-14 
   67       2.496654737632e-10       4.154548498226e-14      -5.826344117340e-13       0.000000000000e+00       2.842690671726e-11       3.289935419981e-12      -1.087053412195e-14 
   68       2.529624469169e-10       4.335095975109e-14      -6.392477201329e-13       0.000000000000e+00       2.745586218967e-11       3.191657747023e-12      -1.077454611410e-14 
   69       2.562909578773e-10       4.519192935920e-14      -6.976320582186e-13       0.000000000000e+00       2.653045082657e-11       3.097746317827e-12      -1.067373534661e-14 
   70       2.596508349491e-10       4.706765952123e-14      -7.578040570201e-13       0.000000000000e+00       2.564721494149e-11       3.007950833936e-12      -1.056080337715e-14 
   71       2.630412539527e-10       4.897736864410e-14      -8.197824183708e-13       0.000000000000e+00       2.480152271616e-11       2.921913181624e-12      -1.042756626622e-14 
   72       2.664613316221e-10       5.092017993482e-14      -8.835781648351e-13       0.000000000000e+00       2.398876163217e-11       2.839264154956e-12      -1.026741706698e-14 
   73       2.699121210657e-10       5.289496767324e-14      -9.491629068304e-13       0.000000000000e+00       2.320830309897e-11       2.759946370159e-12      -1.008333274529e-14 
   74       2.733949332930e-10       5.490048081262e-14      -1.016494712980e-12       0.000000000000e+00       2.246020550348e-11       2.683944473530e-12      -9.881352603702e-15 
   75       2.769107174903e-10       5.693538666018e-14      -1.085527380434e-12       0.000000000000e+00       2.174400989268e-11       2.611186154783e-12      -9.668243509779e-15 
   76       2.804600378945e-10       5.899826952340e-14      -1.156210351214e-12       0.000000000000e+00       2.105871483800e-11       2.541539407885e-12      -9.451524355540e-15 
   77       2.840430506667e-10       6.108762935629e-14      -1.228488628545e-12       0.000000000000e+00       2.040275129989e-11       2.474809791912e-12      -9.239490516884e-15 
   78       2.876594807654e-10       6.320188040567e-14      -1.302302693196e-12       0.000000000000e+00       1.977395749231e-11       2.410737691883e-12      -9.041238313011e-15 
   79       2.913085988210e-10       6.533934985744e-14      -1.377588419822e-12       0.000000000000e+00       1.916955374721e-11       2.348995579615e-12      -8.866689465849e-15 
   80       2.949896721396e-10       6.749833592865e-14      -1.454282956726e-12       0.000000000000e+00       1.858683401062e-11       2.289269348441e-12      -8.724254594292e-15 
   81       2.987034587969e-10       6.967729674010e-14      -1.532343725172e-12       0.000000000000e+00       1.802543392813e-11       2.231524610480e-12      -8.613302585024e-15 
   82       3.024509320152e-10       7.187469192683e-14      -1.611732582331e-12       0.000000000000e+00       1.748541260772e-11       2.175781862312e-12      -8.530421934978e-15 
   83       3.062328149535e-10       7.408892585672e-14      -1.692410177280e-12       0.000000000000e+00       1.696655929164e-11       2.122035354709e-12      -8.471646592198e-15 
   84       3.100495663614e-10       7.631834737764e-14      -1.774335977766e-12       0.000000000000e+00       1.646838149187e-11       2.070251910411e-12      -8.432436693684e-15 
   85       3.139013662327e-10       7.856124956454e-14      -1.857468296986e-12       0.000000000000e+00       1.599009312556e-11       2.020369741891e-12      -8.407659303240e-15 
   86       3.177881014597e-10       8.081586946661e-14      -1.941764320355e-12       0.000000000000e+00       1.553060265052e-11       1.972297269122e-12      -8.391569149320e-15 
   87       3.217093514863e-10       8.308038785441e-14      -2.027180132281e-12       0.000000000000e+00       1.508850120064e-11       1.925911937350e-12      -8.377789362881e-15 
   88       3.256643739626e-10       8.535292896697e-14      -2.113670742937e-12       0.000000000000e+00       1.466205072137e-11       1.881059034860e-12      -8.359292215225e-15 
   89       3.296524231075e-10       8.763158494192e-14      -2.201188477273e-12       0.000000000000e+00       1.424959847852e-11       1.837590063661e-12      -8.329906942135e-15 
   90       3.336737933047e-10       8.991449404903e-14      -2.289677794095e-12       0.000000000000e+00       1.385092096514e-11       1.795487326642e-12      -8.289156272939e-15 
   91       3.377289135432e-10       9.219977432013e-14      -2.379079699811e-12       0.000000000000e+00       1.346606993132e-11       1.754756796852e-12      -8.238146636107e-15 
   92       3.418180200504e-10       9.448550007393e-14      -2.469333316052e-12       0.000000000000e+00       1.309495937734e-11       1.715389722937e-12      -8.178112177722e-15 
   93       3.459411469294e-10       9.676970203292e-14      -2.560375881903e-12       0.000000000000e+00       1.273736007675e-11       1.677362039468e-12      -8.110418377024e-15 
   94       3.500981167984e-10       9.905036744029e-14      -2.652142756142e-12       0.000000000000e+00       1.239289409942e-11       1.640633777255e-12      -8.036565661956e-15 
   95       3.542885314280e-10       1.013254401768e-13      -2.744567419479e-12       0.000000000000e+00       1.206102933466e-11       1.605148473676e-12      -7.958193024707e-15 
   96       3.585117623798e-10       1.035928208777e-13      -2.837581476789e-12       0.000000000000e+00       1.174107401422e-11       1.570832582994e-12      -7.877081637255e-15 
   97       3.627669416447e-10       1.058503670498e-13      -2.931114659350e-12       0.000000000000e+00       1.143217123542e-11       1.537594886680e-12      -7.795158466920e-15 
   98       3.670529522809e-10       1.080958931881e-13      -3.025094827081e-12       0.000000000000e+00       1.113329348421e-11       1.505325903736e-12      -7.714499891901e-15 
   99       3.713687261840e-10       1.103272200863e-13      -3.119449442636e-12       0.000000000000e+00       1.084347843232e-11       1.473923879639e-12      -7.636915295568e-15 
  100       3.757142057572e-10       1.125423304850e-13      -3.214110227095e-12       0.000000000000e+00       1.056258627654e-11       1.443378228069e-12      -7.562622736028e-15 
  101       3.800895016959e-10       1.147392357894e-13      -3.309009170935e-12       0.000000000000e+00       1.029063999457e-11       1.413696867522e-12      -7.491391540508e-15 
  102       3.844945924399e-10       1.169159295468e-13      -3.404077140824e-12       0.000000000000e+00       1.002759112078e-11       1.384880432947e-12      -7.422944134999e-15 
  103       3.889293185346e-10       1.190703881600e-13      -3.499243899703e-12       0.000000000000e+00       9.773317193768e-12       1.356922008235e-12      -7.356954568626e-15 
  104       3.933933769920e-10       1.212005716003e-13      -3.594438126858e-12       0.000000000000e+00       9.527619203974e-12       1.329806858705e-12      -7.293047038034e-15 
  105       3.978863156518e-10       1.233044241208e-13      -3.689587438001e-12       0.000000000000e+00       9.290219041302e-12       1.303512163591e-12      -7.230794411759e-15 
  106       4.024075275421e-10       1.253798749695e-13      -3.784618405347e-12       0.000000000000e+00       9.060756942718e-12       1.278006748529e-12      -7.169716754611e-15 
  107       4.069562452410e-10       1.274248391025e-13      -3.879456577692e-12       0.000000000000e+00       8.838788939846e-12       1.253250818046e-12      -7.109279852053e-15 
  108       4.115315352371e-10       1.294372178975e-13      -3.974026500489e-12       0.000000000000e+00       8.623784306585e-12       1.229195688044e-12      -7.048893734573e-15 
  109       4.161322922908e-10       1.314148998663e-13      -4.068251735924e-12       0.000000000000e+00       8.415123006706e-12       1.205783518287e-12      -6.987911202071e-15 
  110       4.207574359532e-10       1.333558128800e-13      -4.162055445439e-12       0.000000000000e+00       8.212235632453e-12       1.182960730220e-12      -6.925759049670e-15 
  111       4.254065408061e-10       1.352580869063e-13      -4.255362178932e-12       0.000000000000e+00       8.015049051080e-12       1.160720786026e-12      -6.862353998444e-15 
  112       4.300792767011e-10       1.371199135307e-13      -4.348096353174e-12       0.000000000000e+00       7.823593280103e-12       1.139066409199e-12      -6.797737480912e-15 
  113       4.347752102018e-10       1.389394975120e-13      -4.440181735146e-12       0.000000000000e+00       7.637862955784e-12       1.117996257121e-12      -6.731947528465e-15 
  114       4.394938009314e-10       1.407150580022e-13      -4.531541467649e-12       0.000000000000e+00       7.457816181136e-12       1.097504788052e-12      -6.665018599932e-15 
  115       4.442343979204e-10       1.424448297656e-13      -4.622098094903e-12       0.000000000000e+00       7.283373373936e-12       1.077582128113e-12      -6.596981410153e-15 
  116       4.489962359547e-10       1.441270643986e-13      -4.711773588158e-12       0.000000000000e+00       7.114416114730e-12       1.058213938277e-12      -6.527862758545e-15 
  117       4.537784319235e-10       1.457600315487e-13      -4.800489371295e-12       0.000000000000e+00       6.950785994843e-12       1.039381281352e-12      -6.457685357677e-15 
