# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.692917101151e-10       7.936718569234e-15       2.533213246458e-13       0.000000000000e+00       8.636033397204e-11       8.955416040623e-12      -7.686204886362e-15 
   41       1.718326875846e-10       8.622724000538e-15       2.445013269276e-13       0.000000000000e+00       8.209437751763e-11       8.538675570405e-12      -7.084300275015e-15 
   42       1.743893869245e-10       9.345692971031e-15       2.342742642848e-13       0.000000000000e+00       7.811226148245e-11       8.150608330879e-12      -6.740044102403e-15 
   43       1.769511645703e-10       1.010614717643e-14       2.227202062854e-13       0.000000000000e+00       7.437108303198e-11       7.788684130412e-12      -6.769454290394e-15 
   44       1.795229800374e-10       1.090475184496e-14       2.097933458872e-13       0.000000000000e+00       7.086511169242e-11       7.452063763781e-12      -7.121306997871e-15 
   45       1.821129668973e-10       1.174219203686e-14       1.954049836111e-13       0.000000000000e+00       6.759079667019e-11       7.139425112951e-12      -7.679553498829e-15 
   46       1.847275585385e-10       1.261912478534e-14       1.794547215772e-13       0.000000000000e+00       6.453283973873e-11       6.848069338151e-12      -8.301458569406e-15 
   47       1.873712801205e-10       1.353617808081e-14       1.618296695166e-13       0.000000000000e+00       6.166327921113e-11       6.573817712939e-12      -8.816037453951e-15 
   48       1.900466686667e-10       1.449388049983e-14       1.424260869241e-13       0.000000000000e+00       5.895010248831e-11       6.312217377188e-12      -9.070820420470e-15 
   49       1.927544921514e-10       1.549242900489e-14       1.212233762060e-13       0.000000000000e+00       5.638809195059e-11       6.062801231857e-12      -9.091381691295e-15 
   50       1.954932347239e-10       1.653185394505e-14       9.822958313331e-14       0.000000000000e+00       5.397510030729e-11       5.825851607464e-12      -8.964094296818e-15 
   51       1.982587774097e-10       1.761207825431e-14       7.346112385564e-14       0.000000000000e+00       5.170286188580e-11       5.601160700196e-12      -8.792609159978e-15 
   52       2.010441966026e-10       1.873291289734e-14       4.694313561413e-14       0.000000000000e+00       4.955656275596e-11       5.387994188504e-12      -8.698757755663e-15 
   53       2.038424893756e-10       1.989416848180e-14       1.869637121590e-14       0.000000000000e+00       4.751949466255e-11       5.185407021661e-12      -8.791464027293e-15 
   54       2.066560360022e-10       2.109603427328e-14      -1.130688122706e-14       0.000000000000e+00       4.558941130847e-11       4.993369868315e-12      -9.062017235027e-15 
   55       2.094892194532e-10       2.233878870388e-14      -4.310944171938e-14       0.000000000000e+00       4.376562876114e-11       4.811868915062e-12      -9.463442474919e-15 
   56       2.123456345421e-10       2.362269204575e-14      -7.675698298997e-14       0.000000000000e+00       4.204409795210e-11       4.640557917914e-12      -9.939705421073e-15 
   57       2.152280091336e-10       2.494798672754e-14      -1.122982439825e-13       0.000000000000e+00       4.041718795896e-11       4.478736585020e-12      -1.042527365411e-14 
   58       2.181381253527e-10       2.631489765082e-14      -1.497852433457e-13       0.000000000000e+00       3.887346928736e-11       4.325328959379e-12      -1.084467798966e-14 
   59       2.210771273971e-10       2.772350414325e-14      -1.892589144217e-13       0.000000000000e+00       3.740086069612e-11       4.179174683716e-12      -1.113044879967e-14 
   60       2.240467073993e-10       2.917332037468e-14      -2.307016297365e-13       0.000000000000e+00       3.599741525620e-11       4.040030879073e-12      -1.128278536858e-14 
   61       2.270480561946e-10       3.066361788728e-14      -2.740740090031e-13       0.000000000000e+00       3.466266056905e-11       3.907765140276e-12      -1.132299287510e-14 
   62       2.300814365864e-10       3.219354143891e-14      -3.193282532634e-13       0.000000000000e+00       3.339435485966e-11       3.782052324716e-12      -1.127650622719e-14 
   63       2.331461176602e-10       3.376210496824e-14      -3.664078641926e-13       0.000000000000e+00       3.218838427695e-11       3.662363541243e-12      -1.117307427156e-14 
   64       2.362403090981e-10       3.536818755991e-14      -4.152473634026e-13       0.000000000000e+00       3.103866019406e-11       3.547955139055e-12      -1.104694400331e-14 
   65       2.393620980179e-10       3.701066538536e-14      -4.657870557037e-13       0.000000000000e+00       2.993879952698e-11       3.438073335450e-12      -1.092932061798e-14 
   66       2.425126376381e-10       3.868884906597e-14      -5.180215834069e-13       0.000000000000e+00       2.888780998615e-11       3.332643201621e-12      -1.082347791756e-14 
   67       2.456935184928e-10       4.040213199689e-14      -5.719611835953e-13       0.000000000000e+00       2.788542883528e-11       3.231706339903e-12      -1.072469043607e-14 
   68       2.489057885549e-10       4.214986231749e-14      -6.276176890224e-13       0.000000000000e+00       2.693039427863e-11       3.135213234149e-12      -1.062746121649e-14 
   69       2.521499155931e-10       4.393134268006e-14      -6.850046682257e-13       0.000000000000e+00       2.602039263601e-11       3.043018270484e-12      -1.052548996004e-14 
   70       2.554257495283e-10       4.574583001842e-14      -7.441375656410e-13       0.000000000000e+00       2.515200551778e-11       2.954874758053e-12      -1.041164117542e-14 
   71       2.587324847905e-10       4.759253531662e-14      -8.050338417157e-13       0.000000000000e+00       2.432065699986e-11       2.870429949769e-12      -1.027791232800e-14 
