# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.384197737303e-10       4.186313255870e-15       3.522057457500e-13       0.000000000000e+00       8.373948001015e-09       4.603357553386e-10      -1.843366407504e-12 
    3       1.309894131667e-10       5.367038377877e-15       3.963295954584e-13       0.000000000000e+00       5.158454649864e-09       3.262286496919e-10      -1.396676659800e-12 
    4       1.240315456970e-10       4.642659009170e-15       3.710292707921e-13       0.000000000000e+00       3.577884085063e-09       2.469819281287e-10      -9.145824921803e-13 
    5       1.188674189211e-10       3.097793789208e-15       3.163346661476e-13       0.000000000000e+00       2.665381030995e-09       1.951351271639e-10      -5.085620021593e-13 
    6       1.153770163996e-10       1.733075920106e-15       2.551202284923e-13       0.000000000000e+00       2.078806355212e-09       1.588168768025e-10      -2.094079510906e-13 
    7       1.131571595442e-10       9.372916396358e-16       2.006640907440e-13       0.000000000000e+00       1.674835799220e-09       1.321515567733e-10      -1.870672458588e-14 
    8       1.119301869827e-10       6.049815415520e-16       1.588050296962e-13       0.000000000000e+00       1.382748272926e-09       1.119275179075e-10       7.847756538824e-14 
    9       1.114463177188e-10       4.855628694252e-16       1.308669023916e-13       0.000000000000e+00       1.163518357527e-09       9.623933640968e-11       1.055189417099e-13 
   10       1.114717675433e-10       4.143087914137e-16       1.155505051262e-13       0.000000000000e+00       9.940106771554e-10       8.380838251446e-11       8.832291893684e-14 
   11       1.119506125634e-10       3.496307921190e-16       1.102008350600e-13       0.000000000000e+00       8.512048656716e-10       7.448619810256e-11       5.106335600448e-14 
   12       1.127259475324e-10       3.067980549558e-16       1.117494292282e-13       0.000000000000e+00       7.444047687555e-10       6.590745057423e-11       1.132522297825e-14 
   13       1.137491886161e-10       2.964505920894e-16       1.174993674419e-13       0.000000000000e+00       6.566566974649e-10       5.893238089106e-11      -1.883935455987e-14 
   14       1.149732141111e-10       3.105223659280e-16       1.254137421799e-13       0.000000000000e+00       5.835941303385e-10       5.285791626653e-11      -3.519768859557e-14 
   15       1.163834053285e-10       3.374691905442e-16       1.341859587209e-13       0.000000000000e+00       5.220528400553e-10       4.774388570579e-11      -3.798254299822e-14 
   16       1.179000646595e-10       3.750779945300e-16       1.431444390089e-13       0.000000000000e+00       4.696907836425e-10       4.333091658856e-11      -3.119571319665e-14 
   17       1.195560173807e-10       4.290928313664e-16       1.520645722427e-13       0.000000000000e+00       4.247415676765e-10       3.947620990136e-11      -2.007185967199e-14 
   18       1.212842613647e-10       5.050015113021e-16       1.611990767477e-13       0.000000000000e+00       3.857065766289e-10       3.611423404955e-11      -9.529082248482e-15 
   19       1.230955410369e-10       6.031376958934e-16       1.707715976786e-13       0.000000000000e+00       3.519616154671e-10       3.319652186310e-11      -2.177450581893e-15 
   20       1.249841842635e-10       7.214962942589e-16       1.809259209598e-13       0.000000000000e+00       3.222260647155e-10       3.060444895224e-11       2.832185519417e-16 
   21       1.269507338745e-10       8.595208138742e-16       1.916090427786e-13       0.000000000000e+00       2.960359906984e-10       2.829112895510e-11      -1.549271406322e-15 
   22       1.289677150393e-10       1.016827148461e-15       2.026262061699e-13       0.000000000000e+00       2.727643873528e-10       2.619937049809e-11      -5.883628748429e-15 
   23       1.310419351756e-10       1.193645684688e-15       2.136516424919e-13       0.000000000000e+00       2.521023206375e-10       2.432168647995e-11      -1.094624082278e-14 
   24       1.331685035507e-10       1.390239312328e-15       2.242710596253e-13       0.000000000000e+00       2.335806627661e-10       2.264220505356e-11      -1.485794292074e-14 
   25       1.353415438695e-10       1.606895147183e-15       2.341724514480e-13       0.000000000000e+00       2.169500297364e-10       2.113763578844e-11      -1.680037397399e-14 
   26       1.375422754843e-10       1.844069068981e-15       2.430876272432e-13       0.000000000000e+00       2.018867730855e-10       1.976931189654e-11      -1.644634560977e-14 
   27       1.397802720944e-10       2.103501253028e-15       2.509442555434e-13       0.000000000000e+00       1.883139181530e-10       1.852800558484e-11      -1.432364661719e-14 
   28       1.420585817235e-10       2.387572212207e-15       2.577551261470e-13       0.000000000000e+00       1.760681318876e-10       1.739874736235e-11      -1.146244954526e-14 
   29       1.443666265876e-10       2.698685839481e-15       2.635645370198e-13       0.000000000000e+00       1.648535008683e-10       1.635534460193e-11      -9.010639990511e-15 
   30       1.467109305803e-10       3.038013296335e-15       2.684205006195e-13       0.000000000000e+00       1.546089236683e-10       1.539662231042e-11      -7.362347002253e-15 
   31       1.490929260365e-10       3.406241078407e-15       2.723961696080e-13       0.000000000000e+00       1.452589763056e-10       1.452219097373e-11      -6.695198516148e-15 
   32       1.515042283776e-10       3.804001629270e-15       2.755583249736e-13       0.000000000000e+00       1.366565023185e-10       1.372446035742e-11      -7.091530650561e-15 
   33       1.539441743253e-10       4.232321002978e-15       2.778234291448e-13       0.000000000000e+00       1.287551327336e-10       1.299680723735e-11      -8.189303019445e-15 
   34       1.564062825687e-10       4.692325620567e-15       2.790470960884e-13       0.000000000000e+00       1.214853921345e-10       1.232693597170e-11      -9.387494838360e-15 
   35       1.588791854872e-10       5.185104688487e-15       2.790755470385e-13       0.000000000000e+00       1.147396695931e-10       1.169897136693e-11      -1.008206587835e-14 
