# Matter power spectrum P(k) at redshift z=0
# for k=1.04207e-05 to 7.14249 h/Mpc,
# number of wavenumbers equal to 639
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.346163977768e-02       2.533006210216e+04 
       1.359036486548e-02       2.538032248119e+04 
       1.371912623900e-02       2.542832816992e+04 
       1.384792400797e-02       2.547410057088e+04 
       1.397675830518e-02       2.551768508830e+04 
       1.410562928612e-02       2.555909787497e+04 
       1.423453712866e-02       2.559835823656e+04 
       1.436348203270e-02       2.563550797134e+04 
       1.449246421995e-02       2.567054932172e+04 
       1.462148393366e-02       2.570352331167e+04 
       1.475054143843e-02       2.573445078535e+04 
       1.487963701999e-02       2.576335601315e+04 
       1.500877098507e-02       2.579026331509e+04 
       1.513794366129e-02       2.581519704479e+04 
       1.526715539701e-02       2.583818464850e+04 
       1.539640656128e-02       2.585924418301e+04 
       1.552569754378e-02       2.587840380259e+04 
       1.565502875478e-02       2.589568439124e+04 
       1.578440062512e-02       2.591112480206e+04 
       1.591381360623e-02       2.592471969718e+04 
       1.604326817018e-02       2.593651596646e+04 
       1.617276480966e-02       2.594653009381e+04 
       1.630230403812e-02       2.595478207931e+04 
       1.643188638984e-02       2.596129241390e+04 
       1.656151241999e-02       2.596608899524e+04 
       1.669118270482e-02       2.596919769091e+04 
       1.682089784176e-02       2.597063130849e+04 
       1.695065844960e-02       2.597042509855e+04 
       1.708046516865e-02       2.596858444347e+04 
       1.721031866094e-02       2.596514063123e+04 
       1.734021961044e-02       2.596011198378e+04 
       1.747016872328e-02       2.595353373870e+04 
       1.760016672800e-02       2.594540596895e+04 
       1.773021437580e-02       2.593576826384e+04 
       1.786031244084e-02       2.592462643522e+04 
       1.799046172052e-02       2.591200662382e+04 
       1.812066303577e-02       2.589794471608e+04 
       1.825091723144e-02       2.588244544542e+04 
       1.838122517657e-02       2.586551983852e+04 
       1.851158776480e-02       2.584721525381e+04 
       1.864200591475e-02       2.582753379387e+04 
       1.877248057037e-02       2.580648963005e+04 
       1.890301270142e-02       2.578413170298e+04 
       1.903360330383e-02       2.576044981685e+04 
       1.916425340020e-02       2.573548015938e+04 
       1.929496404023e-02       2.570923057397e+04 
       1.942573630125e-02       2.568174412593e+04 
       1.955657128865e-02       2.565300853178e+04 
       1.968747013645e-02       2.562306354248e+04 
       1.981843400785e-02       2.559192276274e+04 
       1.994946409575e-02       2.555959843209e+04 
       2.008056162334e-02       2.552611524259e+04 
       2.021172784470e-02       2.549149978051e+04 
       2.034296404542e-02       2.545576475106e+04 
       2.047427154326e-02       2.541892999792e+04 
       2.060565168875e-02       2.538098595723e+04 
       2.073710586594e-02       2.534198749698e+04 
       2.086863549305e-02       2.530192707215e+04 
       2.100024202323e-02       2.526086416552e+04 
       2.113192694532e-02       2.521878714789e+04 
       2.126369178457e-02       2.517567592493e+04 
       2.139553810349e-02       2.513161101315e+04 
       2.152746750267e-02       2.508658865732e+04 
       2.165948162160e-02       2.504060826577e+04 
       2.179158213958e-02       2.499372104546e+04 
       2.192377077661e-02       2.494591189147e+04 
       2.205604929432e-02       2.489719949279e+04 
       2.218841949695e-02       2.484760608084e+04 
       2.232088323231e-02       2.479715962120e+04 
       2.245344239284e-02       2.474588721797e+04 
       2.258609891665e-02       2.469379195837e+04 
       2.271885478860e-02       2.464082839731e+04 
       2.285171204145e-02       2.458710751048e+04 
       2.298467275698e-02       2.453263265329e+04 
       2.311773906721e-02       2.447730252807e+04 
       2.325091315565e-02       2.442129556924e+04 
       2.338419725851e-02       2.436456080759e+04 
       2.351759366607e-02       2.430705934840e+04 
       2.365110472401e-02       2.424891712796e+04 
       2.378473283481e-02       2.419000681069e+04 
       2.391848045918e-02       2.413048384926e+04 
       2.405235011755e-02       2.407032223590e+04 
       2.418634439161e-02       2.400944774922e+04 
       2.432046592589e-02       2.394798224602e+04 
       2.445471742939e-02       2.388590209108e+04 
       2.458910167727e-02       2.382319663860e+04 
       2.472362151260e-02       2.375991291437e+04 
       2.485827984814e-02       2.369602371899e+04 
       2.499307966821e-02       2.363164334121e+04 
       2.512802403062e-02       2.356667475387e+04 
       2.526311606863e-02       2.350119238645e+04 
       2.539835899303e-02       2.343513998401e+04 
       2.553375609422e-02       2.336864153442e+04 
       2.566931074444e-02       2.330157613223e+04 
       2.580502640002e-02       2.323410605300e+04 
       2.594090660369e-02       2.316611758147e+04 
       2.607695498706e-02       2.309766465369e+04 
       2.621317527309e-02       2.302879101024e+04 
       2.634957127870e-02       2.295949776657e+04 
       2.648614691742e-02       2.288974641603e+04 
       2.662290620223e-02       2.281961191041e+04 
       2.675985324837e-02       2.274905483037e+04 
       2.689699227637e-02       2.267813596666e+04 
       2.703432761512e-02       2.260683987461e+04 
       2.717186370505e-02       2.253515394138e+04 
       2.730960510149e-02       2.246313253548e+04 
       2.744755647805e-02       2.239079348484e+04 
       2.758572263023e-02       2.231808836590e+04 
       2.772410847911e-02       2.224507595667e+04 
       2.786271907513e-02       2.217176327980e+04 
       2.800155960216e-02       2.209817959713e+04 
       2.814063538155e-02       2.202423058993e+04 
       2.827995187645e-02       2.195003785408e+04 
       2.841951469629e-02       2.187558079449e+04 
       2.855932960135e-02       2.180085590573e+04 
       2.869940250761e-02       2.172586750128e+04 
       2.883973949172e-02       2.165066157875e+04 
       2.898034679622e-02       2.157522905314e+04 
       2.912123083494e-02       2.149958875901e+04 
       2.926239819861e-02       2.142363777429e+04 
       2.940385566071e-02       2.134760889313e+04 
       2.954561018357e-02       2.127128459517e+04 
       2.968766892472e-02       2.119479222206e+04 
       2.983003924349e-02       2.111816067197e+04 
       2.997272870790e-02       2.104133108925e+04 
       3.011574510183e-02       2.096432869373e+04 
       3.025909643252e-02       2.088718807434e+04 
       3.040279093836e-02       2.080985761243e+04 
       3.054683709707e-02       2.073248324439e+04 
       3.069124363419e-02       2.065485709034e+04 
       3.083601953196e-02       2.057711546465e+04 
       3.098117403861e-02       2.049939602954e+04 
       3.112671667805e-02       2.042143045054e+04 
       3.127265726003e-02       2.034340859208e+04 
       3.141900589076e-02       2.026522459912e+04 
       3.156577298395e-02       2.018697140823e+04 
       3.171296927252e-02       2.010865849897e+04 
       3.186060582069e-02       2.003031280635e+04 
       3.200869403678e-02       1.995177163280e+04 
       3.215724568654e-02       1.987324765620e+04 
       3.230627290721e-02       1.979458815680e+04 
       3.245578822215e-02       1.971593203644e+04 
       3.260580455636e-02       1.963724251232e+04 
       3.275633525262e-02       1.955840969600e+04 
       3.290739408851e-02       1.947958923879e+04 
       3.305899529437e-02       1.940072917482e+04 
       3.321115357202e-02       1.932185236459e+04 
       3.336388411466e-02       1.924288398532e+04 
       3.351720262761e-02       1.916397000835e+04 
       3.367112535036e-02       1.908497100705e+04 
       3.382566907961e-02       1.900597079260e+04 
       3.398085119373e-02       1.892696581127e+04 
       3.413668967845e-02       1.884788695046e+04 
       3.429320315403e-02       1.876887837740e+04 
       3.445041090397e-02       1.868988393629e+04 
       3.460833290528e-02       1.861075429630e+04 
       3.476698986058e-02       1.853176740449e+04 
       3.492640323201e-02       1.845272781437e+04 
       3.508659527713e-02       1.837372102312e+04 
       3.524758908699e-02       1.829467492903e+04 
       3.540940862645e-02       1.821564694096e+04 
       3.557207877702e-02       1.813664935433e+04 
       3.573562538222e-02       1.805762881330e+04 
       3.590007529592e-02       1.797865093730e+04 
       3.606545643360e-02       1.789967218272e+04 
       3.623179782697e-02       1.782074518934e+04 
       3.639912968207e-02       1.774186741010e+04 
       3.656748344122e-02       1.766289731491e+04 
       3.673689184906e-02       1.758401170379e+04 
       3.690738902304e-02       1.750522171835e+04 
       3.707901052868e-02       1.742629072400e+04 
       3.725179346006e-02       1.734744579521e+04 
       3.742577652594e-02       1.726862531855e+04 
       3.760100014198e-02       1.718984279480e+04 
       3.777750652956e-02       1.711106728360e+04 
       3.795533982186e-02       1.703228783722e+04 
       3.813454617772e-02       1.695357794965e+04 
       3.831517390411e-02       1.687480697939e+04 
       3.849727358783e-02       1.679606217398e+04 
       3.868089823749e-02       1.671732514694e+04 
       3.886610343647e-02       1.663858007284e+04 
       3.905294750820e-02       1.655985239605e+04 
       3.924149169468e-02       1.648112070309e+04 
       3.943180034970e-02       1.640243446803e+04 
       3.962394114811e-02       1.632367924876e+04 
       3.981798531288e-02       1.624496011429e+04 
       4.001400786162e-02       1.616615095758e+04 
       4.021208787471e-02       1.608735218256e+04 
       4.041230878727e-02       1.600852675137e+04 
       4.061475870747e-02       1.592968238231e+04 
       4.081953076426e-02       1.585076199715e+04 
