# Matter power spectrum P(k) at redshift z=0
# for k=1.04207e-05 to 7.14249 h/Mpc,
# number of wavenumbers equal to 639
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.346163977768e-02       2.538674782710e+04 
       1.359036486548e-02       2.543686525906e+04 
       1.371912623900e-02       2.548473389167e+04 
       1.384792400797e-02       2.553036011244e+04 
       1.397675830518e-02       2.557378239479e+04 
       1.410562928612e-02       2.561503329612e+04 
       1.423453712866e-02       2.565412184445e+04 
       1.436348203270e-02       2.569108012929e+04 
       1.449246421995e-02       2.572593314698e+04 
       1.462148393366e-02       2.575871622573e+04 
       1.475054143843e-02       2.578943315381e+04 
       1.487963701999e-02       2.581812509496e+04 
       1.500877098507e-02       2.584481971098e+04 
       1.513794366129e-02       2.586953147255e+04 
       1.526715539701e-02       2.589228456493e+04 
       1.539640656128e-02       2.591311719376e+04 
       1.552569754378e-02       2.593203461677e+04 
       1.565502875478e-02       2.594906644912e+04 
       1.578440062512e-02       2.596425333635e+04 
       1.591381360623e-02       2.597760280626e+04 
       1.604326817018e-02       2.598913486519e+04 
       1.617276480966e-02       2.599887912281e+04 
       1.630230403812e-02       2.600686616503e+04 
       1.643188638984e-02       2.601310193648e+04 
       1.656151241999e-02       2.601762889493e+04 
       1.669118270482e-02       2.602045377569e+04 
       1.682089784176e-02       2.602159388270e+04 
       1.695065844960e-02       2.602108574234e+04 
       1.708046516865e-02       2.601896427186e+04 
       1.721031866094e-02       2.601522929223e+04 
       1.734021961044e-02       2.600990236817e+04 
       1.747016872328e-02       2.600301292369e+04 
       1.760016672800e-02       2.599457796699e+04 
       1.773021437580e-02       2.598462748248e+04 
       1.786031244084e-02       2.597317749804e+04 
       1.799046172052e-02       2.596024523767e+04 
       1.812066303577e-02       2.594586901923e+04 
       1.825091723144e-02       2.593003882818e+04 
       1.838122517657e-02       2.591279217051e+04 
       1.851158776480e-02       2.589416255048e+04 
       1.864200591475e-02       2.587414277361e+04 
       1.877248057037e-02       2.585277154894e+04 
       1.890301270142e-02       2.583008203510e+04 
       1.903360330383e-02       2.580610083306e+04 
       1.916425340020e-02       2.578075211353e+04 
       1.929496404023e-02       2.575416621172e+04 
       1.942573630125e-02       2.572633297744e+04 
       1.955657128865e-02       2.569725895419e+04 
       1.968747013645e-02       2.566696392520e+04 
       1.981843400785e-02       2.563546999576e+04 
       1.994946409575e-02       2.560280839076e+04 
       2.008056162334e-02       2.556897209175e+04 
       2.021172784470e-02       2.553400941244e+04 
       2.034296404542e-02       2.549791874769e+04 
       2.047427154326e-02       2.546072548462e+04 
       2.060565168875e-02       2.542242617877e+04 
       2.073710586594e-02       2.538309121791e+04 
       2.086863549305e-02       2.534267477180e+04 
       2.100024202323e-02       2.530124091667e+04 
       2.113192694532e-02       2.525882965331e+04 
       2.126369178457e-02       2.521536600477e+04 
       2.139553810349e-02       2.517095534257e+04 
       2.152746750267e-02       2.512557272796e+04 
       2.165948162160e-02       2.507923780390e+04 
       2.179158213958e-02       2.503196575032e+04 
       2.192377077661e-02       2.498383526266e+04 
       2.205604929432e-02       2.493477069590e+04 
       2.218841949695e-02       2.488482462091e+04 
       2.232088323231e-02       2.483403285060e+04 
       2.245344239284e-02       2.478235098571e+04 
       2.258609891665e-02       2.472994782039e+04 
       2.271885478860e-02       2.467664399095e+04 
       2.285171204145e-02       2.462255801912e+04 
       2.298467275698e-02       2.456770850667e+04 
       2.311773906721e-02       2.451208175451e+04 
       2.325091315565e-02       2.445572992819e+04 
       2.338419725851e-02       2.439860568655e+04 
       2.351759366607e-02       2.434079452000e+04 
       2.365110472401e-02       2.428218284716e+04 
       2.378473283481e-02       2.422307490488e+04 
       2.391848045918e-02       2.416312808023e+04 
       2.405235011755e-02       2.410258077189e+04 
       2.418634439161e-02       2.404138713483e+04 
       2.432046592589e-02       2.397953210964e+04 
       2.445471742939e-02       2.391711592238e+04 
       2.458910167727e-02       2.385404816786e+04 
       2.472362151260e-02       2.379042943152e+04 
       2.485827984814e-02       2.372618492665e+04 
       2.499307966821e-02       2.366142170402e+04 
       2.512802403062e-02       2.359604989191e+04 
       2.526311606863e-02       2.353022910694e+04 
       2.539835899303e-02       2.346381908150e+04 
       2.553375609422e-02       2.339696301458e+04 
       2.566931074444e-02       2.332959034308e+04 
       2.580502640002e-02       2.326170698155e+04 
       2.594090660369e-02       2.319336236584e+04 
       2.607695498706e-02       2.312454676386e+04 
       2.621317527309e-02       2.305528160725e+04 
       2.634957127870e-02       2.298562385981e+04 
       2.648614691742e-02       2.291549985705e+04 
       2.662290620223e-02       2.284499357375e+04 
       2.675985324837e-02       2.277406287934e+04 
       2.689699227637e-02       2.270274443644e+04 
       2.703432761512e-02       2.263107666469e+04 
       2.717186370505e-02       2.255901700303e+04 
       2.730960510149e-02       2.248661845245e+04 
       2.744755647805e-02       2.241389761511e+04 
       2.758572263023e-02       2.234080627443e+04 
       2.772410847911e-02       2.226741368396e+04 
       2.786271907513e-02       2.219368266505e+04 
       2.800155960216e-02       2.211969291477e+04 
       2.814063538155e-02       2.204539235038e+04 
       2.827995187645e-02       2.197079694089e+04 
       2.841951469629e-02       2.189595570250e+04 
       2.855932960135e-02       2.182083411592e+04 
       2.869940250761e-02       2.174545864681e+04 
       2.883973949172e-02       2.166984460089e+04 
       2.898034679622e-02       2.159399592132e+04 
       2.912123083494e-02       2.151792135261e+04 
       2.926239819861e-02       2.144165288504e+04 
       2.940385566071e-02       2.136513318916e+04 
       2.954561018357e-02       2.128844049803e+04 
       2.968766892472e-02       2.121151907513e+04 
       2.983003924349e-02       2.113448878405e+04 
       2.997272870790e-02       2.105724762490e+04 
       3.011574510183e-02       2.097984043953e+04 
