# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.652342863457e-10       7.657245916526e-15       2.355971659042e-13       0.000000000000e+00       8.506183131305e-11       8.869303347038e-12      -6.939708716615e-15 
   41       1.677064537407e-10       8.318118213245e-15       2.263282505733e-13       0.000000000000e+00       8.085653069438e-11       8.471571123003e-12      -6.460786338935e-15 
   42       1.702023594777e-10       9.014792576546e-15       2.156853723401e-13       0.000000000000e+00       7.692327436003e-11       8.093285375590e-12      -6.437048288337e-15 
   43       1.727246410761e-10       9.747756620285e-15       2.036233409549e-13       0.000000000000e+00       7.325167089203e-11       7.735975869502e-12      -6.725507555599e-15 
   44       1.752724641849e-10       1.051742159391e-14       1.900943842727e-13       0.000000000000e+00       6.981507432944e-11       7.400194340048e-12      -7.146599371995e-15 
   45       1.778432136969e-10       1.132416336021e-14       1.750496928038e-13       0.000000000000e+00       6.658011371354e-11       7.085660696203e-12      -7.523950985900e-15 
   46       1.804389772607e-10       1.216846953281e-14       1.584452969286e-13       0.000000000000e+00       6.354172901645e-11       6.791965168205e-12      -7.823195787204e-15 
   47       1.830614173511e-10       1.305082940048e-14       1.402374465522e-13       0.000000000000e+00       6.069640796943e-11       6.517923464022e-12      -8.050814108309e-15 
   48       1.857096862566e-10       1.397169125721e-14       1.203807417691e-13       0.000000000000e+00       5.803161808453e-11       6.261284920963e-12      -8.215861904708e-15 
   49       1.883802006269e-10       1.493146092469e-14       9.882794470291e-14       0.000000000000e+00       5.552513573890e-11       6.018656376527e-12      -8.330130917518e-15 
   50       1.910687401781e-10       1.593047359685e-14       7.553493111070e-14       0.000000000000e+00       5.315174464133e-11       5.786472836948e-12      -8.408604928248e-15 
   51       1.937779384389e-10       1.696890379136e-14       5.047756624485e-14       0.000000000000e+00       5.090703126576e-11       5.564396716378e-12      -8.470602947532e-15 
   52       1.965114355755e-10       1.804682840157e-14       2.363908450569e-14       0.000000000000e+00       4.878888870027e-11       5.352709688856e-12      -8.539223182820e-15 
   53       1.992716186182e-10       1.916424857014e-14      -4.994597525926e-15       0.000000000000e+00       4.679039535442e-11       5.151320303310e-12      -8.641244033117e-15 
   54       2.020595053823e-10       2.032108695609e-14      -3.543482737813e-14       0.000000000000e+00       4.489949083801e-11       4.959737115471e-12      -8.807298185281e-15 
   55       2.048753270742e-10       2.151723436504e-14      -6.769020245861e-14       0.000000000000e+00       4.310265828713e-11       4.777304889491e-12      -9.062163950522e-15 
   56       2.077207115264e-10       2.275270946565e-14      -1.017666462726e-13       0.000000000000e+00       4.139778509688e-11       4.604043468290e-12      -9.392416096680e-15 
   57       2.105968390022e-10       2.402753396326e-14      -1.376672570611e-13       0.000000000000e+00       3.978392934695e-11       4.439970235061e-12      -9.771043731534e-15 
   58       2.135037041026e-10       2.534168592099e-14      -1.753922189416e-13       0.000000000000e+00       3.825742890159e-11       4.284839044839e-12      -1.016642262225e-14 
   59       2.164400269084e-10       2.669509895003e-14      -2.149387497359e-13       0.000000000000e+00       3.681173338371e-11       4.138123605895e-12      -1.054210424906e-14 
   60       2.194031641217e-10       2.808766139999e-14      -2.563010487982e-13       0.000000000000e+00       3.543723614900e-11       3.999000861120e-12      -1.085660485899e-14 
   61       2.223903532227e-10       2.951913764667e-14      -2.994708109731e-13       0.000000000000e+00       3.412394335633e-11       3.866580129444e-12      -1.107287709928e-14 
   62       2.254029723015e-10       3.098891314121e-14      -3.444390213089e-13       0.000000000000e+00       3.287056138736e-11       3.740688228949e-12      -1.118968650337e-14 
   63       2.284430830623e-10       3.249619043725e-14      -3.911944724399e-13       0.000000000000e+00       3.167716031379e-11       3.621231895059e-12      -1.121693551759e-14 
   64       2.315121365408e-10       3.404005882728e-14      -4.397232004711e-13       0.000000000000e+00       3.054244033225e-11       3.507958925215e-12      -1.116669675832e-14 
   65       2.346109265418e-10       3.561949106112e-14      -4.900084507694e-13       0.000000000000e+00       2.946365375728e-11       3.400449358042e-12      -1.105330928657e-14 
   66       2.377395430760e-10       3.723334006446e-14      -5.420306437537e-13       0.000000000000e+00       2.843652701438e-11       3.298106652518e-12      -1.089347488265e-14 
   67       2.408973257977e-10       3.888033565744e-14      -5.957673406858e-13       0.000000000000e+00       2.745518263300e-11       3.200148867145e-12      -1.070635432078e-14 
   68       2.440834789433e-10       4.055921598455e-14      -6.511947413298e-13       0.000000000000e+00       2.651370965025e-11       3.105809204117e-12      -1.050998675895e-14 
   69       2.472991649231e-10       4.226916006426e-14      -7.082926057902e-13       0.000000000000e+00       2.561141869725e-11       3.015004545825e-12      -1.030949020980e-14 
   70       2.505457532480e-10       4.400943739307e-14      -7.670402730945e-13       0.000000000000e+00       2.474851648892e-11       2.927787157732e-12      -1.010663214118e-14 
   71       2.538241674491e-10       4.577928114988e-14      -8.274152224447e-13       0.000000000000e+00       2.392451642262e-11       2.844143905005e-12      -9.903297012138e-15 
   72       2.571348554332e-10       4.757788835980e-14      -8.893930781854e-13       0.000000000000e+00       2.313820273001e-11       2.763992786289e-12      -9.701488509558e-15 
   73       2.604777598379e-10       4.940442005800e-14      -9.529476147735e-13       0.000000000000e+00       2.238759462887e-11       2.687179467485e-12      -9.503331784847e-15 
   74       2.638522883875e-10       5.125800145358e-14      -1.018050761746e-12       0.000000000000e+00       2.166991047502e-11       2.613473815517e-12      -9.311075690576e-15 
   75       2.672572842478e-10       5.313772209335e-14      -1.084672608691e-12       0.000000000000e+00       2.098153191411e-11       2.542566432108e-12      -9.127095017141e-15 
   76       2.706916076093e-10       5.504257234561e-14      -1.152781022762e-12       0.000000000000e+00       2.031890237109e-11       2.474150277210e-12      -8.953579904970e-15 
   77       2.741560684044e-10       5.697123911745e-14      -1.222340409731e-12       0.000000000000e+00       1.968149091726e-11       2.408190385344e-12      -8.791533750044e-15 
   78       2.776517938096e-10       5.892227301007e-14      -1.293312734987e-12       0.000000000000e+00       1.906930626089e-11       2.344697264407e-12      -8.641595776170e-15 
   79       2.811796314503e-10       6.089414757062e-14      -1.365657888015e-12       0.000000000000e+00       1.848199393856e-11       2.283644475793e-12      -8.504333537669e-15 
   80       2.847401322901e-10       6.288525815026e-14      -1.439333679420e-12       0.000000000000e+00       1.791881962638e-11       2.224966912989e-12      -8.380238741312e-15 
   81       2.883335335197e-10       6.489392076211e-14      -1.514295837951e-12       0.000000000000e+00       1.737865245120e-11       2.168559080192e-12      -8.269723068258e-15 
   82       2.919597414462e-10       6.691837093936e-14      -1.590498007527e-12       0.000000000000e+00       1.685994830181e-11       2.114273370904e-12      -8.173113995996e-15 
   83       2.956183143821e-10       6.895676259322e-14      -1.667891744256e-12       0.000000000000e+00       1.636073314016e-11       2.061918346546e-12      -8.090650620281e-15 
   84       2.993087479361e-10       7.100723725765e-14      -1.746427044206e-12       0.000000000000e+00       1.587908289768e-11       2.011306453591e-12      -8.022209611170e-15 
   85       3.030314227066e-10       7.306814751433e-14      -1.826054033744e-12       0.000000000000e+00       1.541469112953e-11       1.962410034634e-12      -7.966440034215e-15 
   86       3.067867830539e-10       7.513786868522e-14      -1.906721555265e-12       0.000000000000e+00       1.496753185448e-11       1.915228144815e-12      -7.921476773811e-15 
   87       3.105750368167e-10       7.721473177958e-14      -1.988376667221e-12       0.000000000000e+00       1.453737785658e-11       1.869738535463e-12      -7.885189061503e-15 
   88       3.143961432831e-10       7.929702353488e-14      -2.070964650064e-12       0.000000000000e+00       1.412379234232e-11       1.825896763598e-12      -7.855171762360e-15 
   89       3.182498011622e-10       8.138298645789e-14      -2.154429012188e-12       0.000000000000e+00       1.372612059784e-11       1.783635301445e-12      -7.828736661355e-15 
   90       3.221354365559e-10       8.347081886558e-14      -2.238711495879e-12       0.000000000000e+00       1.334348164608e-11       1.742862645929e-12      -7.802903749741e-15 
   91       3.260521909300e-10       8.555867492616e-14      -2.323752083252e-12       0.000000000000e+00       1.297475990396e-11       1.703462428190e-12      -7.774392511429e-15 
   92       3.299989090857e-10       8.764466470011e-14      -2.409489002200e-12       0.000000000000e+00       1.261859683958e-11       1.665292523082e-12      -7.739613209366e-15 
   93       3.339744909184e-10       8.972688202135e-14      -2.495859590979e-12       0.000000000000e+00       1.227371337001e-11       1.628219800758e-12      -7.695493096512e-15 
   94       3.379790333367e-10       9.180349284885e-14      -2.582803027806e-12       0.000000000000e+00       1.193995064201e-11       1.592232294378e-12      -7.642116118968e-15 
   95       3.420128386472e-10       9.387266034076e-14      -2.670258024696e-12       0.000000000000e+00       1.161737108810e-11       1.557342334490e-12      -7.580465961089e-15 
   96       3.460760591304e-10       9.593251861562e-14      -2.758162022884e-12       0.000000000000e+00       1.130593788158e-11       1.523552014248e-12      -7.511629205823e-15 
   97       3.501686900055e-10       9.798117317554e-14      -2.846451210562e-12       0.000000000000e+00       1.100551113369e-11       1.490852788167e-12      -7.436798081962e-15 
   98       3.542905623955e-10       1.000167013293e-13      -2.935060540605e-12       0.000000000000e+00       1.071584409082e-11       1.459225070882e-12      -7.357273211396e-15 
   99       3.584413362925e-10       1.020371526157e-13      -3.023923748303e-12       0.000000000000e+00       1.043657933170e-11       1.428637835906e-12      -7.274466356358e-15 
  100       3.626204935227e-10       1.040405492263e-13      -3.112973369091e-12       0.000000000000e+00       1.016724496464e-11       1.399048214391e-12      -7.189903166679e-15 
  101       3.668273307115e-10       1.060248864290e-13      -3.202140756279e-12       0.000000000000e+00       9.907250824690e-12       1.370401093883e-12      -7.105225927035e-15 
  102       3.710609522490e-10       1.079881329910e-13      -3.291356098782e-12       0.000000000000e+00       9.655884670839e-12       1.342628717081e-12      -7.022196304201e-15 
  103       3.753202632548e-10       1.099282316019e-13      -3.380548438853e-12       0.000000000000e+00       9.412308383241e-12       1.315650280600e-12      -6.942698094298e-15 
  104       3.796042005354e-10       1.118431504060e-13      -3.469646251143e-12       0.000000000000e+00       9.175747985722e-12       1.289390926392e-12      -6.868333059394e-15 
  105       3.839124761416e-10       1.137310446150e-13      -3.558579230783e-12       0.000000000000e+00       8.946101138210e-12       1.263842502004e-12      -6.799140341150e-15 
  106       3.882449216077e-10       1.155901176172e-13      -3.647276781028e-12       0.000000000000e+00       8.723405000205e-12       1.239010298331e-12      -6.734708374969e-15 
  107       3.926012545619e-10       1.174185727910e-13      -3.735667497102e-12       0.000000000000e+00       8.507648080924e-12       1.214894204023e-12      -6.674564649527e-15 
  108       3.969810743074e-10       1.192146144897e-13      -3.823679190097e-12       0.000000000000e+00       8.298768566456e-12       1.191488517354e-12      -6.618173982470e-15 
  109       4.013838574024e-10       1.209764490265e-13      -3.911238910872e-12       0.000000000000e+00       8.096652646906e-12       1.168781758085e-12      -6.564936796122e-15 
  110       4.058089532405e-10       1.227022856589e-13      -3.998272973953e-12       0.000000000000e+00       7.901132843545e-12       1.146756479331e-12      -6.514187393194e-15 
  111       4.102555796315e-10       1.243903375737e-13      -4.084706981430e-12       0.000000000000e+00       7.711986335960e-12       1.125389079421e-12      -6.465192232482e-15 
  112       4.147228183815e-10       1.260388228717e-13      -4.170465846858e-12       0.000000000000e+00       7.528933289201e-12       1.104649613766e-12      -6.417148204576e-15 
  113       4.192096108735e-10       1.276459655529e-13      -4.255473819154e-12       0.000000000000e+00       7.351635180931e-12       1.084501606726e-12      -6.369180907566e-15 
  114       4.237147536478e-10       1.292099965006e-13      -4.339654506496e-12       0.000000000000e+00       7.179693128573e-12       1.064901863469e-12      -6.320342922741e-15 
  115       4.282368939823e-10       1.307291544666e-13      -4.422930900223e-12       0.000000000000e+00       7.012646216461e-12       1.045800281840e-12      -6.269612090301e-15 
  116       4.327747206621e-10       1.322017350564e-13      -4.505226342009e-12       0.000000000000e+00       6.850072557962e-12       1.027150833682e-12      -6.216109227081e-15 
  117       4.373275720484e-10       1.336262423353e-13      -4.586467507693e-12       0.000000000000e+00       6.691909997887e-12       1.008946425689e-12      -6.159784996192e-15 
  118       4.418948939841e-10       1.350012575900e-13      -4.666581832795e-12       0.000000000000e+00       6.538171441578e-12       9.911879434135e-13      -6.100813698532e-15 
  119       4.464760485554e-10       1.363253943709e-13      -4.745496633587e-12       0.000000000000e+00       6.388844852603e-12       9.738733726490e-13      -6.039381516668e-15 
  120       4.510703113982e-10       1.375972999016e-13      -4.823139139333e-12       0.000000000000e+00       6.243892488258e-12       9.569977100494e-13      -5.975686730790e-15 
